"grid_id","Species","Species_Code","Rank","Covariates","CAR_Median","CAR_SD","CAR_RelativeRisk"
1,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.55220055947138,1.32637984398636,0.211781424079003
2,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.55189307293212,1.15335244108831,0.211846563300599
3,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.51514809737132,1.12873831966677,0.219775648046021
4,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.52918207491468,1.126247879974,0.216712850128487
5,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.48928745746171,1.17305578985599,0.225533303032859
6,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.52493416283428,1.31588587251526,0.217635387414726
7,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.5045030309249,1.12615301536381,0.222127658289429
8,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.47716077916192,1.07038349145276,0.228284924359306
9,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.47946751362385,1.03652902975677,0.227758935574523
10,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.47372102925115,1.05497755388487,0.229071516686572
11,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.51356847580001,1.07505352130652,0.220123071817821
12,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.50237165370811,1.1194830874985,0.222601599723893
13,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.44002395056137,1.11407767493708,0.236922084560058
14,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.4829965735089,1.12954531067711,0.226956576706942
15,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.52659389808868,1.1460950403503,0.217274474961783
16,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.49013754853088,1.13061982282749,0.225341658014118
17,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.51010243816694,1.11031924821177,0.220887353780092
18,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.49839879180838,1.05308324715136,0.223487724657151
19,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.48089819198345,1.03680914022589,0.227433317880158
20,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.46572380534831,1.01253552802246,0.230910796605182
21,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.44283486043964,1.01184691380531,0.236257052948681
22,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.49125932853712,1.01754378397527,0.225089016048161
23,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.4974245200068,1.02997926269464,0.223705568224725
24,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.49935718994145,1.0561363371077,0.223273638054452
25,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.50690796716747,1.11189717924115,0.221594096287253
26,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.52645723079913,1.31974640816824,0.217304165053496
27,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.43207381379177,1.16614324585583,0.238813156034816
28,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.44985729824984,0.998292355142692,0.234603764951077
29,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.47315464563377,0.968518719170529,0.229201294688673
30,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.4996053820356,0.973880860224981,0.223218229515172
31,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.51067344130366,0.961675421164173,0.220761258232791
32,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.53525678176334,0.989120446001529,0.215400379299146
33,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.47878825215343,0.999248762605518,0.227913695064591
34,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.48570696140782,1.00140232683231,0.226342273528232
35,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.50131021631503,0.985721795562082,0.222838002824513
36,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.49242855266618,1.00118713369974,0.224825990321944
37,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.47088306260481,0.975649723923003,0.229722536860163
38,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.43971275366931,0.985714662873785,0.236995825697568
39,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.46418275936106,0.987133162538904,0.231266915165916
40,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.45699289275479,0.979801959320349,0.232935725680932
41,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.5164036696942,0.988123304671439,0.219499879077631
42,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.49567841755646,1.03246091300451,0.224096522297858
43,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.48764279958085,1.07169151920951,0.225904536496507
44,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.51181499012454,1.18733015413362,0.220509392173095
45,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.41998039890083,0.929139892766278,0.241718762281812
46,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.46552312197212,0.915376595131138,0.23095714126396
47,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.48134399711095,0.880923170090596,0.227331949505631
48,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.47745489238322,0.89087053989153,0.228217798962972
49,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.48886927676877,0.88939656855387,0.225627634124626
50,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.51503263656574,0.896064668290287,0.219801011318439
51,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.48296894942851,0.919704990427335,0.226962849259924
52,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.4477136038534,0.949104926111233,0.235107222312239
53,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.46922083163217,0.944965249603773,0.23010470581847
54,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.48446669120006,0.954205977190803,0.226623169000732
55,"Banteng","BTG",2,"dist_str + ndvi_cv + elev + BB + DE",-1.46766723204906,0.950555673855285,0.2304624767391
