"grid_id","Species","Species_Code","Rank","Covariates","CAR_Median","CAR_SD","CAR_RelativeRisk"
1,"Muntjac","MJK",7,"slope + DE",-0.0408905994460984,0.494474991395349,0.959934141530455
2,"Muntjac","MJK",7,"slope + DE",-0.0406003136931676,0.437680035807314,0.960212845533126
3,"Muntjac","MJK",7,"slope + DE",-0.0393421451946487,0.418723839497833,0.961421707077245
4,"Muntjac","MJK",7,"slope + DE",-0.0457352795094031,0.423241917534226,0.955294814881194
5,"Muntjac","MJK",7,"slope + DE",-0.0329121973791805,0.447099159572542,0.967623516119867
6,"Muntjac","MJK",7,"slope + DE",-0.0345227764068881,0.509093954131245,0.966066335919283
7,"Muntjac","MJK",7,"slope + DE",-0.0519311111587547,0.404639669711811,0.949394271873212
8,"Muntjac","MJK",7,"slope + DE",-0.0485191765361683,0.391537334630152,0.952639070815044
9,"Muntjac","MJK",7,"slope + DE",-0.0381827768842059,0.393560798239233,0.962536995345483
10,"Muntjac","MJK",7,"slope + DE",-0.0332597681181266,0.401466219389943,0.967287256668224
11,"Muntjac","MJK",7,"slope + DE",-0.0244601744749291,0.408080302568423,0.975836551462596
12,"Muntjac","MJK",7,"slope + DE",-0.0158882605079965,0.440602860737895,0.984237292138547
13,"Muntjac","MJK",7,"slope + DE",-0.0519953562361304,0.381023497207049,0.949333281024984
14,"Muntjac","MJK",7,"slope + DE",-0.0473871061667866,0.378543106975665,0.95371813595631
15,"Muntjac","MJK",7,"slope + DE",-0.048526606648441,0.376727306031854,0.952631995869021
16,"Muntjac","MJK",7,"slope + DE",-0.0497508010366054,0.36264520483151,0.95146649946963
17,"Muntjac","MJK",7,"slope + DE",-0.0529677283567631,0.369441538986818,0.948410619131201
18,"Muntjac","MJK",7,"slope + DE",-0.048373769625802,0.352278665188716,0.952777601202363
19,"Muntjac","MJK",7,"slope + DE",-0.0564513382856992,0.367523600363487,0.94511247430172
20,"Muntjac","MJK",7,"slope + DE",-0.0459042197336659,0.37192787465819,0.955133440877725
21,"Muntjac","MJK",7,"slope + DE",-0.0403745500873378,0.377051421351216,0.960429642769992
22,"Muntjac","MJK",7,"slope + DE",-0.0391494332698414,0.381691084360379,0.961607002441109
23,"Muntjac","MJK",7,"slope + DE",-0.0205615262876578,0.398543845741128,0.979648420894649
24,"Muntjac","MJK",7,"slope + DE",-0.0139430884668057,0.417122522991867,0.986153667191595
25,"Muntjac","MJK",7,"slope + DE",-0.0204941017491803,0.452057373942883,0.979714475060492
26,"Muntjac","MJK",7,"slope + DE",-0.00966408411419829,0.523016609163817,0.990382463365533
27,"Muntjac","MJK",7,"slope + DE",-0.0505869903791009,0.435843584681207,0.950671225959964
28,"Muntjac","MJK",7,"slope + DE",-0.0467123479697888,0.349655056019158,0.954361882491091
29,"Muntjac","MJK",7,"slope + DE",-0.0491970114633006,0.315957415961505,0.951993557611812
30,"Muntjac","MJK",7,"slope + DE",-0.047808845566157,0.316555411818273,0.953316000242342
31,"Muntjac","MJK",7,"slope + DE",-0.0504606191531266,0.316035334928312,0.950791371073295
32,"Muntjac","MJK",7,"slope + DE",-0.0515942452187316,0.31984141610021,0.949714140252522
33,"Muntjac","MJK",7,"slope + DE",-0.0568140184131863,0.304433165924472,0.94476976993269
34,"Muntjac","MJK",7,"slope + DE",-0.0506684692618542,0.313400244563377,0.950593770511268
35,"Muntjac","MJK",7,"slope + DE",-0.0371300438617923,0.310007860568671,0.963550823789369
36,"Muntjac","MJK",7,"slope + DE",-0.0451316790503765,0.326812224159374,0.955871605368364
37,"Muntjac","MJK",7,"slope + DE",-0.042230355420606,0.351707134722596,0.958648925581879
38,"Muntjac","MJK",7,"slope + DE",-0.0495213492293565,0.356460485237977,0.95168484054368
39,"Muntjac","MJK",7,"slope + DE",-0.0322410552093484,0.368562565424651,0.968273146901574
40,"Muntjac","MJK",7,"slope + DE",-0.0249389779671004,0.377986685732161,0.975369431262332
41,"Muntjac","MJK",7,"slope + DE",-0.0239841601992063,0.389481160974573,0.976301175822945
42,"Muntjac","MJK",7,"slope + DE",-0.0209848658979066,0.415863365496682,0.979233784472134
43,"Muntjac","MJK",7,"slope + DE",-0.0172768991001378,0.437323010059724,0.982871490722055
44,"Muntjac","MJK",7,"slope + DE",-0.0156850082655838,0.47944658990392,0.98443736095317
45,"Muntjac","MJK",7,"slope + DE",-0.0568845029568622,0.340643920802639,0.944703173728145
46,"Muntjac","MJK",7,"slope + DE",-0.0593159934275896,0.309549208184751,0.942408927682317
47,"Muntjac","MJK",7,"slope + DE",-0.0524734223447554,0.296097438029474,0.948879540783629
48,"Muntjac","MJK",7,"slope + DE",-0.0588978749855441,0.291786550043338,0.942803048025631
49,"Muntjac","MJK",7,"slope + DE",-0.0536317536591743,0.285917456737121,0.947781059201433
50,"Muntjac","MJK",7,"slope + DE",-0.0537243015847277,0.281336232073376,0.947693350637792
