"grid_id","Species","Species_Code","Rank","Covariates","CAR_Median","CAR_SD","CAR_RelativeRisk"
1,"Wild boar","PIG",2,"slope + BB",-0.246236753999286,1.12262047510854,0.781737135520812
2,"Wild boar","PIG",2,"slope + BB",-0.248930732954601,1.00138422278512,0.779633978853111
3,"Wild boar","PIG",2,"slope + BB",-0.242734504376254,0.971093425674938,0.784479781748424
4,"Wild boar","PIG",2,"slope + BB",-0.209658649350062,0.9780231062354,0.810860991038707
5,"Wild boar","PIG",2,"slope + BB",-0.20502921648436,1.0077031516935,0.814623571270588
6,"Wild boar","PIG",2,"slope + BB",-0.213881272517941,1.10612363408376,0.807444245160888
7,"Wild boar","PIG",2,"slope + BB",-0.230619388633105,0.930233062891262,0.794041630067965
8,"Wild boar","PIG",2,"slope + BB",-0.247918024003273,0.897381772177302,0.780423928332569
9,"Wild boar","PIG",2,"slope + BB",-0.225812170611678,0.896642559396372,0.797867950803868
10,"Wild boar","PIG",2,"slope + BB",-0.202275339092447,0.908963863355485,0.816870011146055
11,"Wild boar","PIG",2,"slope + BB",-0.21070931902268,0.920932398778589,0.810009487372815
12,"Wild boar","PIG",2,"slope + BB",-0.184046431802621,0.936795561747356,0.83189717647506
13,"Wild boar","PIG",2,"slope + BB",-0.47214990738167,0.927783606557315,0.62366002430101
14,"Wild boar","PIG",2,"slope + BB",-0.485241319561397,0.914893984710659,0.615548637317721
15,"Wild boar","PIG",2,"slope + BB",-0.314248474927375,0.915046010874933,0.730337535777505
16,"Wild boar","PIG",2,"slope + BB",-0.285734046689171,0.875975481470358,0.751462524701617
17,"Wild boar","PIG",2,"slope + BB",-0.248906465580891,0.843834894786598,0.779652895198578
18,"Wild boar","PIG",2,"slope + BB",-0.271453944552891,0.835806296934767,0.762270391543317
19,"Wild boar","PIG",2,"slope + BB",-0.241453125935761,0.845553141729647,0.785485623556593
20,"Wild boar","PIG",2,"slope + BB",-0.206771131021102,0.8607387077425,0.813205746534584
21,"Wild boar","PIG",2,"slope + BB",-0.203043124116163,0.85876498052424,0.81624304918519
22,"Wild boar","PIG",2,"slope + BB",-0.227207673057019,0.860859367723347,0.796755300707618
23,"Wild boar","PIG",2,"slope + BB",-0.206941495055955,0.863205958890165,0.813067220361772
24,"Wild boar","PIG",2,"slope + BB",-0.22222971206309,0.883405038488397,0.800731406891492
25,"Wild boar","PIG",2,"slope + BB",-0.182274932060393,0.946158348430568,0.833372188862627
26,"Wild boar","PIG",2,"slope + BB",-0.221726775888355,1.11775479730664,0.801134247019155
27,"Wild boar","PIG",2,"slope + BB",-0.490967311239446,0.979157665525458,0.612034083241347
28,"Wild boar","PIG",2,"slope + BB",-0.486950462129843,0.834334860397462,0.614497473087442
29,"Wild boar","PIG",2,"slope + BB",-0.453321950869323,0.800588310616815,0.635513498217348
30,"Wild boar","PIG",2,"slope + BB",-0.454101376843225,0.799496891763867,0.635018353944738
31,"Wild boar","PIG",2,"slope + BB",-0.441842786198779,0.804825332709295,0.642850704730756
32,"Wild boar","PIG",2,"slope + BB",-0.365477716328102,0.8088351665745,0.69386510767552
33,"Wild boar","PIG",2,"slope + BB",-0.325028286999451,0.815715684517822,0.722506916117547
34,"Wild boar","PIG",2,"slope + BB",-0.290117634660403,0.784259573399677,0.748175551030692
35,"Wild boar","PIG",2,"slope + BB",-0.278538551558073,0.756668192794565,0.756889087938669
36,"Wild boar","PIG",2,"slope + BB",-0.254694027245208,0.765629319459355,0.775153640444913
37,"Wild boar","PIG",2,"slope + BB",-0.244466003221396,0.791601232109253,0.783122612006703
38,"Wild boar","PIG",2,"slope + BB",-0.232803958146569,0.809903070609804,0.792308889813173
39,"Wild boar","PIG",2,"slope + BB",-0.221429170575312,0.818903893834184,0.801372680904306
40,"Wild boar","PIG",2,"slope + BB",-0.197018937808892,0.819630922068579,0.82117508759165
41,"Wild boar","PIG",2,"slope + BB",-0.22153835669846,0.835452689091479,0.801285187994992
42,"Wild boar","PIG",2,"slope + BB",-0.203956090736522,0.866092173924488,0.815498178836744
43,"Wild boar","PIG",2,"slope + BB",-0.227484645984254,0.894659342885808,0.796534653214909
44,"Wild boar","PIG",2,"slope + BB",-0.212757797692034,1.01284076650058,0.808351898924024
45,"Wild boar","PIG",2,"slope + BB",-0.465161822662853,0.819144493454856,0.628033513031664
46,"Wild boar","PIG",2,"slope + BB",-0.478225048802832,0.77197230170408,0.619882688337904
47,"Wild boar","PIG",2,"slope + BB",-0.452189373426169,0.766302734580003,0.636233672761255
48,"Wild boar","PIG",2,"slope + BB",-0.439120054509582,0.759372945507509,0.644603387785385
49,"Wild boar","PIG",2,"slope + BB",-0.416737827643089,0.75148213448483,0.659193720934682
50,"Wild boar","PIG",2,"slope + BB",-0.399518136302682,0.748343761756437,0.6706431270845
51,"Wild boar","PIG",2,"slope + BB",-0.326945920109718,0.748730085079441,0.721122740597078
52,"Wild boar","PIG",2,"slope + BB",-0.30646143076194,0.752448724599578,0.736046906699493
53,"Wild boar","PIG",2,"slope + BB",-0.273432494550179,0.7516173751943,0.760763691596943
54,"Wild boar","PIG",2,"slope + BB",-0.257183907323919,0.740635990217394,0.773225998834053
55,"Wild boar","PIG",2,"slope + BB",-0.239981835825678,0.744166966612517,0.78664215082904
56,"Wild boar","PIG",2,"slope + BB",-0.216223531142365,0.750964395954812,0.805555215129276
57,"Wild boar","PIG",2,"slope + BB",-0.20668614462038,0.762066312840915,0.813274861372058
58,"Wild boar","PIG",2,"slope + BB",-0.223088719632222,0.780065433390484,0.800043866630284
59,"Wild boar","PIG",2,"slope + BB",-0.250956492754381,0.792313649323581,0.778056225413874
60,"Wild boar","PIG",2,"slope + BB",-0.237233613194578,0.826476322769386,0.788806993025297
61,"Wild boar","PIG",2,"slope + BB",-0.241295381892927,0.864927500092605,0.785609563487342
62,"Wild boar","PIG",2,"slope + BB",-0.24558055679002,0.965535378131363,0.782250279112912
63,"Wild boar","PIG",2,"slope + BB",-0.43987093348982,1.00180604956889,0.644119550147664
64,"Wild boar","PIG",2,"slope + BB",-0.43361559114233,0.962250374155233,0.648161366997045
