"grid_id","Species","Species_Code","Rank","Covariates","CAR_Median","CAR_SD","CAR_RelativeRisk"
1,"Muntjac","MJK",7,"slope + DE",-0.038190657224599,0.488454898974511,0.962529410225586
2,"Muntjac","MJK",7,"slope + DE",-0.0486039156034815,0.424374113071873,0.952558348878735
3,"Muntjac","MJK",7,"slope + DE",-0.0457051033912574,0.412121609216456,0.955323642372233
4,"Muntjac","MJK",7,"slope + DE",-0.046473802359063,0.41184571575399,0.954589568465425
5,"Muntjac","MJK",7,"slope + DE",-0.0451335897814809,0.437275161637303,0.955869779112998
6,"Muntjac","MJK",7,"slope + DE",-0.0522641468863836,0.496088419373885,0.949078137700682
7,"Muntjac","MJK",7,"slope + DE",-0.0448423856925079,0.412249722585042,0.956148172838996
8,"Muntjac","MJK",7,"slope + DE",-0.0558085001034343,0.38392873574814,0.945720223875732
9,"Muntjac","MJK",7,"slope + DE",-0.0486907839101856,0.380944654875647,0.952475605167097
10,"Muntjac","MJK",7,"slope + DE",-0.0503441216115173,0.384608408100915,0.950902142609179
11,"Muntjac","MJK",7,"slope + DE",-0.0498772965234986,0.399219609342343,0.95134615147116
12,"Muntjac","MJK",7,"slope + DE",-0.0522816495120942,0.41728878469076,0.949061526534849
13,"Muntjac","MJK",7,"slope + DE",-0.065887667729305,0.415904979623107,0.936236027909737
14,"Muntjac","MJK",7,"slope + DE",-0.0688346326437359,0.409542614344804,0.93348103460923
15,"Muntjac","MJK",7,"slope + DE",-0.058518705332243,0.406067072766486,0.943160598138397
16,"Muntjac","MJK",7,"slope + DE",-0.0552482595250452,0.383975364510211,0.946250203165227
17,"Muntjac","MJK",7,"slope + DE",-0.058544557000696,0.383224071104503,0.943136216184994
18,"Muntjac","MJK",7,"slope + DE",-0.052191981282297,0.375975978378413,0.949146630974248
19,"Muntjac","MJK",7,"slope + DE",-0.0505177287955309,0.36763362634131,0.950737073125046
20,"Muntjac","MJK",7,"slope + DE",-0.0563011247899048,0.363056543537949,0.945254453609971
21,"Muntjac","MJK",7,"slope + DE",-0.0543196315028102,0.35793168289565,0.947129325771608
22,"Muntjac","MJK",7,"slope + DE",-0.056596449931823,0.366298006771043,0.944975337314673
23,"Muntjac","MJK",7,"slope + DE",-0.0617637263795569,0.37469797895656,0.94010498263039
24,"Muntjac","MJK",7,"slope + DE",-0.0536102207019499,0.391830089154296,0.947801467914666
25,"Muntjac","MJK",7,"slope + DE",-0.0534533180891024,0.422890060323497,0.947950192135159
