"Species","Species_Code","Rank","Type","Covariates","Delta_wAIC","Cluster_Density_Mean_km2","Cluster_Density_Median_km2","Cluster_Density_SD_km2","Cluster_Density_95_CI_km2","Cluster_Density_Mean_100km2","Cluster_Density_Median_100km2","Cluster_Density_95_CI_100km2","Ind_Density_Mean_km2","Ind_Density_Median_km2","Ind_Density_SD_km2","Ind_Density_95_CI_km2","Ind_Density_Mean_100km2","Ind_Density_Median_100km2","Ind_Density_95_CI_100km2","Cluster_Size_Mean","Cluster_Size_Median","Cluster_Size_SD","Cluster_Size_95_CI"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB",0,0.483451979417156,0.400374500433626,0.368632096547998,"[0.202, 1.211]",48.3451979417156,40.0374500433626,"[20.2, 121.1]",1.04695061159168,0.864723918182531,0.801619141456521,"[0.430, 2.672]",104.695061159168,86.472391818253,"[43.0, 267.2]",2.16579145803945,2.15402384497703,0.166172248572343,"[1.88, 2.52]"
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE",1.11,0.526177886299281,0.427056823292184,0.429914861025333,"[0.218, 1.383]",52.6177886299281,42.7056823292184,"[21.8, 138.3]",1.13787964095381,0.921585072797438,0.933117553328566,"[0.461, 3.032]",113.787964095381,92.1585072797438,"[46.1, 303.2]",2.16116239092491,2.15508212785642,0.164246058515129,"[1.86, 2.51]"
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB",1.32,0.49139075285899,0.404966694284346,0.503592074337134,"[0.212, 1.316]",49.139075285899,40.4966694284346,"[21.2, 131.6]",1.06005270080482,0.872179858225066,1.12349820313419,"[0.451, 2.830]",106.005270080482,87.2179858225066,"[45.1, 283.0]",2.15454612624033,2.14445615961062,0.162863565152994,"[1.86, 2.50]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD",1.43,0.518651581250315,0.35286733006245,0.673095150232715,"[0.179, 1.915]",51.8651581250315,35.286733006245,"[17.9, 191.5]",1.1242167545615,0.764231457950814,1.47670221354808,"[0.379, 4.075]",112.42167545615,76.4231457950814,"[37.9, 407.5]",2.16811134981464,2.15854823109931,0.161812549418348,"[1.89, 2.51]"
"Gaur","GAR",1,"Spatial","ndvi_cv + elev + DE",0,0.645099032305818,0.572962568724678,0.466043027018649,"[0.329, 1.297]",64.5099032305818,57.2962568724678,"[32.9, 129.7]",1.0494136685808,0.933925321194344,0.751904758352961,"[0.535, 2.108]",104.94136685808,93.3925321194344,"[53.5, 210.8]",1.62752174655668,1.61317828032753,0.0462962662795397,"[1.58, 1.76]"
"Gaur","GAR",2,"Spatial","ndvi_cv + elev + BB + DE",1.6,0.752262491376246,0.598525164616302,0.686898822288541,"[0.301, 2.233]",75.2262491376246,59.8525164616302,"[30.1, 223.3]",1.22544650557092,0.972603217597983,1.12472421549919,"[0.488, 3.600]",122.544650557092,97.2603217597982,"[48.8, 360.0]",1.62806393380322,1.61327338059484,0.0458917418560215,"[1.58, 1.75]"
"Muntjac","MJK",1,"NoSpatial","elev + slope",0,2.95122490865846,2.92551702234663,0.312629323447296,"[2.408, 3.632]",295.122490865846,292.551702234663,"[240.8, 363.2]",4.69068133221521,4.65104317662204,0.49750974859337,"[3.825, 5.775]",469.068133221521,465.104317662204,"[382.5, 577.5]",1.58939598484851,1.58722049398119,0.00726231894820462,"[1.58, 1.61]"
"Muntjac","MJK",2,"NoSpatial","slope",0.23,2.95122490865846,2.92551702234663,0.312629323447296,"[2.408, 3.632]",295.122490865846,292.551702234663,"[240.8, 363.2]",4.69068133221521,4.65104317662204,0.49750974859337,"[3.825, 5.775]",469.068133221521,465.104317662204,"[382.5, 577.5]",1.58939598484851,1.58722049398119,0.00726231894820462,"[1.58, 1.61]"
"Muntjac","MJK",3,"NoSpatial","dist_str + elev + slope",0.5,2.95122490865846,2.92551702234663,0.312629323447296,"[2.408, 3.632]",295.122490865846,292.551702234663,"[240.8, 363.2]",4.69068133221521,4.65104317662204,0.49750974859337,"[3.825, 5.775]",469.068133221521,465.104317662204,"[382.5, 577.5]",1.58939598484851,1.58722049398119,0.00726231894820462,"[1.58, 1.61]"
"Muntjac","MJK",4,"NoSpatial","dist_str + elev + slope + BB",0.82,2.95122490865846,2.92551702234663,0.312629323447296,"[2.408, 3.632]",295.122490865846,292.551702234663,"[240.8, 363.2]",4.69068133221521,4.65104317662204,0.49750974859337,"[3.825, 5.775]",469.068133221521,465.104317662204,"[382.5, 577.5]",1.58939598484851,1.58722049398119,0.00726231894820462,"[1.58, 1.61]"
"Muntjac","MJK",5,"NoSpatial","slope + DE",0.94,2.95122490865846,2.92551702234663,0.312629323447296,"[2.408, 3.632]",295.122490865846,292.551702234663,"[240.8, 363.2]",4.69068133221521,4.65104317662204,0.49750974859337,"[3.825, 5.775]",469.068133221521,465.104317662204,"[382.5, 577.5]",1.58939598484851,1.58722049398119,0.00726231894820462,"[1.58, 1.61]"
"Muntjac","MJK",6,"NoSpatial","ndvi_cv + slope",1.67,2.95122490865846,2.92551702234663,0.312629323447296,"[2.408, 3.632]",295.122490865846,292.551702234663,"[240.8, 363.2]",4.69068133221521,4.65104317662204,0.49750974859337,"[3.825, 5.775]",469.068133221521,465.104317662204,"[382.5, 577.5]",1.58939598484851,1.58722049398119,0.00726231894820462,"[1.58, 1.61]"
"Muntjac","MJK",7,"Spatial","slope + DE",1.78,2.97101459678681,2.94612045933754,0.304531898761874,"[2.456, 3.644]",297.101459678681,294.612045933754,"[245.6, 364.4]",4.72136344579462,4.6814757446915,0.483349980504645,"[3.903, 5.796]",472.136344579462,468.14757446915,"[390.3, 579.6]",1.58917485411962,1.58703073816392,0.00714898999642671,"[1.58, 1.61]"
"Sambar deer","SBR",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD",0,1.99010084753843,1.93439455350945,0.401273886222464,"[1.356, 2.890]",199.010084753843,193.439455350945,"[135.6, 289.0]",3.16523849087087,3.07610669260889,0.638584065791569,"[2.158, 4.592]",316.523849087087,307.610669260889,"[215.8, 459.2]",1.59048328118738,1.5879667367838,0.0084673689046996,"[1.58, 1.61]"
"Sambar deer","SBR",2,"Spatial","ndvi_cv + elev + BB",0.95,1.94359795284318,1.90375786168733,0.319008065180042,"[1.422, 2.679]",194.359795284318,190.375786168733,"[142.2, 267.9]",3.09081772537031,3.02788797957361,0.507167649868225,"[2.262, 4.253]",309.081772537031,302.788797957361,"[226.2, 425.3]",1.59028107491651,1.58775436314453,0.00807572057751156,"[1.58, 1.61]"
"Sambar deer","SBR",3,"Spatial","ndvi_cv + elev + BB + DD",1.5,1.85150174121503,1.81656121555615,0.329632988262064,"[1.306, 2.612]",185.150174121503,181.656121555615,"[130.6, 261.2]",2.94580989244772,2.89139297730794,0.524769048855271,"[2.073, 4.168]",294.580989244772,289.139297730794,"[207.3, 416.8]",1.59102885250398,1.58833566949851,0.00931084311613645,"[1.58, 1.62]"
"Wild boar","PIG",1,"Spatial","slope",0,1.30077572378346,1.22144945915864,0.410639038033184,"[0.761, 2.341]",130.077572378346,122.144945915864,"[76.1, 234.1]",2.1239177893547,1.99417954185362,0.675794782375142,"[1.240, 3.842]",212.39177893547,199.417954185362,"[124.0, 384.2]",1.63272309880591,1.61839903314417,0.0480628237511303,"[1.58, 1.76]"
"Wild boar","PIG",2,"Spatial","slope + BB",0.68,1.28187265919222,1.15628719869135,0.62088692677954,"[0.685, 2.638]",128.187265919222,115.628719869135,"[68.5, 263.8]",2.0967420057892,1.88816862418131,1.01875407176645,"[1.117, 4.303]",209.67420057892,188.816862418131,"[111.7, 430.3]",1.63538092881982,1.62096608391516,0.0486519443488747,"[1.58, 1.76]"
