"Species","Rank","Covariates","wAIC","Delta_wAIC","Weight","lppd","pWAIC","Type","CI_2.5","CI_5","CI_25","CI_50","CI_75","CI_95","CI_97.5"
"Banteng",1,"dist_str + ndvi_cv + slope + BB",269.463672392477,0,0.342309469333608,-124.274718523357,10.4571176728808,"Spatial",1420.79866757515,1598.64462497802,2177.56253677686,2768.14138440369,3620.39147332393,6336.50660385942,8035.64153776047
"Banteng",2,"dist_str + ndvi_cv + elev + BB + DE",270.57533659494,1.11166420246303,0.196346922579791,-124.416062662392,10.8716056350782,"Spatial",1451.37970162861,1631.7479818481,2342.87482075355,3008.77861066307,3994.69624553375,6873.21727282922,8670.64319458962
"Banteng",3,"dist_str + ndvi_cv + elev + slope + BB",270.788081216142,1.32440882366575,0.176533524202932,-124.428620934198,10.9654196738731,"Spatial",1384.73332650156,1531.04305650497,2129.19228707651,2770.57908094114,3767.0872058538,6450.21203902525,8085.15252054144
"Banteng",4,"dist_str + ndvi_cv + elev + BB + DD",270.890854225032,1.42718183255562,0.167691216756365,-124.42865712788,11.0167699846362,"Spatial",1099.4521753854,1228.18145628537,1721.87993283159,2293.46974428074,3277.87113906794,6884.83679595643,8813.70961587129
"Banteng",5,"dist_str + ndvi_cv + elev + BB + DD + DE",271.608724055642,2.14505166316513,0.117118867127304,-124.742998941747,11.061363086074,"Spatial",1293.58284822408,1431.65760068838,2089.43602069296,2906.2908866086,4632.65434391877,10981.1030372686,16089.5051729364
"Banteng",6,"dist_str + ndvi_cv + elev + BB + DD + DE",361.815439532849,92.3517671403724,3.02334342295313e-21,-169.516110562577,11.3916092038477,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Banteng",7,"dist_str + ndvi_cv + elev + BB + DE",362.79490091062,93.3312285181434,1.8526788594134e-21,-171.650860495492,9.7465899598173,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Banteng",8,"dist_str + ndvi_cv + elev + BB + DD",363.867501504444,94.4038291119674,1.0836471329409e-21,-171.121162054943,10.8125886972792,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Banteng",9,"dist_str + ndvi_cv + elev + slope + BB",364.070801028499,94.6071286360224,9.7890817540885e-22,-170.595510587179,11.4398899270707,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Banteng",10,"dist_str + ndvi_cv + slope + BB",364.375777298815,94.9121049063384,8.40460292233292e-22,-170.464124566352,11.7237640830551,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Sambar deer",1,"dist_str + ndvi_cv + elev + BB + DD",512.59016614503,0,0.398523747426392,-227.19540675262,29.0996763198947,"Spatial",6613.53123396255,6929.79731624386,8076.46396884339,9021.5617912175,10221.1232234667,12756.6188607735,14591.3425102042
"Sambar deer",2,"ndvi_cv + elev + BB",513.536649406273,0.946483261242975,0.248272133701518,-228.001528508736,28.7667961944008,"Spatial",7012.01337212891,7443.32166438662,8749.73409156051,9820.81418215217,11056.1665302127,13472.4853721526,14252.8302360808
"Sambar deer",3,"ndvi_cv + elev + BB + DD",514.092300597536,1.50213445250586,0.188048491341374,-227.551112933917,29.4950373648505,"Spatial",7363.35121707349,7748.7963844298,9030.07009747528,10066.2703981541,11178.93288795,12889.403064974,13597.6146316871
"Sambar deer",4,"dist_str + ndvi_cv + elev + BB",514.807213407263,2.21704726223288,0.131531117338117,-227.899750537124,29.503856166508,"Spatial",7281.27527788744,7750.66078809074,9391.63170493294,10713.0469948423,12393.5706042138,15979.3039063302,17642.9236129398
"Sambar deer",5,"dist_str + ndvi_cv + elev + slope + BB",517.535189779982,4.94502363495155,0.033624510191322,-228.842006749979,29.9255881400116,"Spatial",7262.87520722877,7678.93495988075,9283.81483792533,10615.0170747596,12295.694545609,16730.0404260351,18674.0525407232
"Sambar deer",6,"ndvi_cv + elev + BB",568.202980723623,55.612814578593,3.3441439084994e-13,-270.529283140628,13.5722072211835,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Sambar deer",7,"dist_str + ndvi_cv + elev + BB + DD",568.333867203182,55.7437010581519,3.13229978190829e-13,-267.844259436061,16.3226741655299,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Sambar deer",8,"dist_str + ndvi_cv + elev + BB",568.569947424376,55.979781279346,2.78355079966395e-13,-268.268582760173,16.0163909520154,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Sambar deer",9,"ndvi_cv + elev + BB + DD",568.895002490992,56.304836345962,2.36599782303044e-13,-269.993434068115,14.4540671773811,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Sambar deer",10,"dist_str + ndvi_cv + elev + slope + BB",570.355188686806,57.7650225417759,1.14008947656736e-13,-268.004467626401,17.1731267170023,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Gaur",1,"ndvi_cv + elev + DE",162.43798204136,0,0.660887621027834,-69.2285237384058,11.9904672822741,"Spatial",1734.76810066798,1929.22336437252,2787.15141026828,3734.70239857364,5243.27731026222,11708.3088475868,21280.7287595541
"Gaur",2,"ndvi_cv + elev + BB + DE",164.042217262013,1.60423522065318,0.29632777851386,-69.835768341125,12.1853402898814,"Spatial",1672.82626863332,1838.88227044521,2542.09991694021,3253.13832840803,4289.77449019484,7522.57762396302,10009.2859686405
