"Species","Rank","Covariates","wAIC","Delta_wAIC","Weight","lppd","pWAIC","Type","CI_2.5","CI_5","CI_25","CI_50","CI_75","CI_95","CI_97.5"
"Banteng",1,"dist_str + ndvi_cv + slope + BB",269.463672392477,0,0.342309469333608,-124.274718523357,10.4571176728808,"Spatial",1420.79866757515,1598.64462497802,2177.56253677686,2768.14138440369,3620.39147332393,6336.50660385942,8035.64153776047
"Banteng",2,"dist_str + ndvi_cv + elev + BB + DE",270.57533659494,1.11166420246303,0.196346922579791,-124.416062662392,10.8716056350782,"Spatial",1451.37970162861,1631.7479818481,2342.87482075355,3008.77861066307,3994.69624553375,6873.21727282922,8670.64319458962
"Banteng",3,"dist_str + ndvi_cv + elev + slope + BB",270.788081216142,1.32440882366575,0.176533524202932,-124.428620934198,10.9654196738731,"Spatial",1384.73332650156,1531.04305650497,2129.19228707651,2770.57908094114,3767.0872058538,6450.21203902525,8085.15252054144
"Banteng",4,"dist_str + ndvi_cv + elev + BB + DD",270.890854225032,1.42718183255562,0.167691216756365,-124.42865712788,11.0167699846362,"Spatial",1099.4521753854,1228.18145628537,1721.87993283159,2293.46974428074,3277.87113906794,6884.83679595643,8813.70961587129
"Banteng",5,"dist_str + ndvi_cv + elev + BB + DD + DE",271.608724055642,2.14505166316513,0.117118867127304,-124.742998941747,11.061363086074,"Spatial",1293.58284822408,1431.65760068838,2089.43602069296,2906.2908866086,4632.65434391877,10981.1030372686,16089.5051729364
"Banteng",6,"dist_str + ndvi_cv + elev + BB + DD + DE",361.815439532849,92.3517671403724,3.02334342295313e-21,-169.516110562577,11.3916092038477,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Banteng",7,"dist_str + ndvi_cv + elev + BB + DE",362.79490091062,93.3312285181434,1.8526788594134e-21,-171.650860495492,9.7465899598173,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Banteng",8,"dist_str + ndvi_cv + elev + BB + DD",363.867501504444,94.4038291119674,1.0836471329409e-21,-171.121162054943,10.8125886972792,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Banteng",9,"dist_str + ndvi_cv + elev + slope + BB",364.070801028499,94.6071286360224,9.7890817540885e-22,-170.595510587179,11.4398899270707,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Banteng",10,"dist_str + ndvi_cv + slope + BB",364.375777298815,94.9121049063384,8.40460292233292e-22,-170.464124566352,11.7237640830551,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
