"Species","Rank","Covariates","wAIC","Delta_wAIC","Weight","lppd","pWAIC","Type","CI_2.5","CI_5","CI_25","CI_50","CI_75","CI_95","CI_97.5"
"Sambar deer",1,"dist_str + ndvi_cv + elev + BB + DD",512.59016614503,0,0.398523747426392,-227.19540675262,29.0996763198947,"Spatial",6613.53123396255,6929.79731624386,8076.46396884339,9021.5617912175,10221.1232234667,12756.6188607735,14591.3425102042
"Sambar deer",2,"ndvi_cv + elev + BB",513.536649406273,0.946483261242975,0.248272133701518,-228.001528508736,28.7667961944008,"Spatial",7012.01337212891,7443.32166438662,8749.73409156051,9820.81418215217,11056.1665302127,13472.4853721526,14252.8302360808
"Sambar deer",3,"ndvi_cv + elev + BB + DD",514.092300597536,1.50213445250586,0.188048491341374,-227.551112933917,29.4950373648505,"Spatial",7363.35121707349,7748.7963844298,9030.07009747528,10066.2703981541,11178.93288795,12889.403064974,13597.6146316871
"Sambar deer",4,"dist_str + ndvi_cv + elev + BB",514.807213407263,2.21704726223288,0.131531117338117,-227.899750537124,29.503856166508,"Spatial",7281.27527788744,7750.66078809074,9391.63170493294,10713.0469948423,12393.5706042138,15979.3039063302,17642.9236129398
"Sambar deer",5,"dist_str + ndvi_cv + elev + slope + BB",517.535189779982,4.94502363495155,0.033624510191322,-228.842006749979,29.9255881400116,"Spatial",7262.87520722877,7678.93495988075,9283.81483792533,10615.0170747596,12295.694545609,16730.0404260351,18674.0525407232
"Sambar deer",6,"ndvi_cv + elev + BB",568.202980723623,55.612814578593,3.3441439084994e-13,-270.529283140628,13.5722072211835,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Sambar deer",7,"dist_str + ndvi_cv + elev + BB + DD",568.333867203182,55.7437010581519,3.13229978190829e-13,-267.844259436061,16.3226741655299,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Sambar deer",8,"dist_str + ndvi_cv + elev + BB",568.569947424376,55.979781279346,2.78355079966395e-13,-268.268582760173,16.0163909520154,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Sambar deer",9,"ndvi_cv + elev + BB + DD",568.895002490992,56.304836345962,2.36599782303044e-13,-269.993434068115,14.4540671773811,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
"Sambar deer",10,"dist_str + ndvi_cv + elev + slope + BB",570.355188686806,57.7650225417759,1.14008947656736e-13,-268.004467626401,17.1731267170023,"NoSpatial",NA,NA,NA,NA,NA,NA,NA
