"Species","Rank","Covariates","wAIC","Delta_wAIC","Weight","lppd","pWAIC"
"Banteng",1,"dist_str + ndvi_cv + elev + BB + DD + DE",361.815439532849,0,0.24114795077195,-169.516110562577,11.3916092038477
"Banteng",2,"dist_str + ndvi_cv + elev + BB + DE",362.79490091062,0.979461377770804,0.147773391204666,-171.650860495492,9.7465899598173
"Banteng",3,"dist_str + ndvi_cv + elev + BB + DD",363.867501504444,2.05206197159549,0.0864338743275443,-171.121162054943,10.8125886972792
"Banteng",4,"dist_str + ndvi_cv + elev + slope + BB",364.070801028499,2.25536149565073,0.0780796844650503,-170.595510587179,11.4398899270707
"Banteng",5,"dist_str + ndvi_cv + slope + BB",364.375777298815,2.56033776596632,0.0670368029111478,-170.464124566352,11.7237640830551
"Sambar deer",1,"ndvi_cv + elev + BB",568.202980723623,0,0.215237407739129,-270.529283140628,13.5722072211835
"Sambar deer",2,"dist_str + ndvi_cv + elev + BB + DD",568.333867203182,0.130886479559877,0.201602593598312,-267.844259436061,16.3226741655299
"Sambar deer",3,"dist_str + ndvi_cv + elev + BB",568.569947424376,0.366966700753551,0.179156242919737,-268.268582760173,16.0163909520154
"Sambar deer",4,"ndvi_cv + elev + BB + DD",568.895002490992,0.692021767369283,0.152281496275066,-269.993434068115,14.4540671773811
"Sambar deer",5,"dist_str + ndvi_cv + elev + slope + BB",570.355188686806,2.15220796318329,0.0733789903309184,-268.004467626401,17.1731267170023
"Gaur",1,"ndvi_cv + elev + BB + DE",180.750733880517,0,0.222442164375117,-82.2248072491002,8.15055969115851
"Gaur",2,"ndvi_cv + elev + BB + DD + DE",182.22936465988,1.47863077936262,0.106202934764484,-82.305237613702,8.80944471623796
"Gaur",3,"ndvi_cv + elev + slope + BB + DE",182.501657020586,1.75092314006827,0.0926848994562302,-82.442302482018,8.80852602827481
"Gaur",4,"dist_str + ndvi_cv + elev + BB + DE",182.64152943803,1.89079555751246,0.0864243403948682,-82.2170727966231,9.10369192239179
"Gaur",5,"ndvi_cv + elev + DE",183.404779583482,2.65404570296482,0.0590063037218755,-83.6185623253532,8.08382746638792
"Muntjac",1,"elev + slope",692.216130105828,0,0.150442624469547,-335.742201182602,10.3658638703126
"Muntjac",2,"slope",692.44439033533,0.228260229501643,0.134216163947876,-337.595719050146,8.62647611751912
"Muntjac",3,"dist_str + elev + slope",692.714721564312,0.498591458483247,0.11724737857406,-333.98422483208,12.3731359500761
"Muntjac",4,"dist_str + elev + slope + BB",693.033810573851,0.817680468022559,0.0999571450594933,-332.746216318378,13.7706889685477
"Muntjac",5,"slope + DE",693.157569412053,0.941439306224538,0.0939593390724426,-335.939086579278,10.6396981267489
"Muntjac",6,"ndvi_cv + slope",693.884563060001,1.66843295417243,0.0653243787783961,-336.717461745418,10.2248197845824
"Wild boar",1,"slope + BB",341.046320010241,0,0.192686523667793,-162.092312816215,8.43084718890546
"Wild boar",2,"slope",342.684042104745,1.63772209450451,0.0849619569884036,-163.10107852613,8.24094252624295
"Wild boar",3,"BB",343.093236049925,2.04691603968428,0.0692419310310341,-165.380971447547,6.16564657741509
"Wild boar",4,"elev + slope + BB",343.319288091646,2.27296808140505,0.0618418672085466,-161.58231647159,10.0773275742326
"Wild boar",5,"ndvi_cv + slope + BB",343.521086822004,2.47476681176335,0.0559065324459402,-161.771658228789,9.98888518221258
