"Species","Species_Code","Rank","Type","Covariates","Parameter","Group_Size_Class","Distance_Bin","Mean","SD","MCSE","Median","HPD_95_Lower","HPD_95_Upper"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","gs_k[1]","Group Size Class 1","-",0.357340476297642,0.0483785491308123,0.00099586251158124,0.357231516414447,0.264112950930862,0.448362684431818
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","gs_k[2]","Group Size Class 2","-",0.317957711036082,0.00724233555464089,0.000156334534571571,0.320728475348684,0.302993060427108,0.323823030411787
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","gs_k[3]","Group Size Class 3","-",0.191230157724037,0.0186823734498364,0.000380812510837097,0.192228027499008,0.156281345237002,0.22609490006533
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","gs_k[4]","Group Size Class 4","-",0.0874497086225089,0.0186745433044496,0.000387803006323161,0.0863506907803666,0.0551646948832071,0.12627774095654
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","gs_k[5]","Group Size Class 5","-",0.0460219463197298,0.0175303573933124,0.000370898406105296,0.0432460562188966,0.0164836752686298,0.0808372485006784
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","muc","-","-",1.80850830567773,0.214390131197393,0.00445664259533808,1.79683871773498,1.43430624269055,2.25464746824029
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","p","-","-",0.0480582196521429,0.0456601559680473,0.00141096713625025,0.036149832454082,6.41062060107479e-05,0.136488609937767
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[1, 1]","Group Size Class 1","Distance Bin 1",0.0691028383604451,0.00934174128736529,0.000191506008826546,0.0690731555159391,0.050656737735534,0.0865402256535582
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[2, 1]","Group Size Class 2","Distance Bin 1",0.061673824418309,0.00150550469463694,3.31595606649357e-05,0.0620551823893682,0.0584827371059394,0.063835355628545
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB","pi[3, 1]","Group Size Class 3","Distance Bin 1",0.0371837459405698,0.00362695480147421,7.36103533130458e-05,0.0373548250973253,0.0303129417912658,0.0439013243713149
