"Species","Species_Code","Rank","Type","Covariates","Delta_wAIC","Total_Abundance_Mean","Total_Abundance_SD","Total_Abundance_95_CI","Key_Params_Max_Rhat","CAR_Spatial_Mean_Rhat","CAR_Spatial_Max_Rhat","Overall_Convergence"
"Banteng","BTG",1,"Spatial","dist_str + ndvi_cv + slope + BB",0,3152.4,2413.7,"[1296.2, 8046.9]",1.0347,"1.0300","1.1559","Acceptable Convergence (Rhat < 1.10)"
"Banteng","BTG",2,"Spatial","dist_str + ndvi_cv + elev + BB + DE",1.11,3426.2,2809.6,"[1387.8, 9128.2]",1.0438,"1.0213","1.1837","Acceptable Convergence (Rhat < 1.10)"
"Banteng","BTG",3,"Spatial","dist_str + ndvi_cv + elev + slope + BB",1.32,3191.8,3382.9,"[1357.9, 8520.5]",1.0981,"1.1202","1.4967","Acceptable Convergence (Rhat < 1.10)"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD",1.43,3385,4446.4,"[1141.8, 12269.2]",1.1463,"1.0602","1.2111","Adequate (Rhat <= 1.25)"
"Gaur","GAR",1,"Spatial","ndvi_cv + elev + DE",0,3159.8,2264,"[1611.5, 6347.1]",1.0016,"1.0431","1.2342","Acceptable Convergence (Rhat < 1.10)"
"Gaur","GAR",2,"Spatial","ndvi_cv + elev + BB + DE",1.6,3689.8,3386.5,"[1468.7, 10840.5]",1.0252,"1.0218","1.3856","Acceptable Convergence (Rhat < 1.10)"
"Muntjac","MJK",1,"NoSpatial","elev + slope",0,14123.6,1498,"[11516.9, 17387.3]",1.0198,"N/A","N/A","Fully Converged (Rhat < 1.05)"
"Muntjac","MJK",2,"NoSpatial","slope",0.23,14123.6,1498,"[11516.9, 17387.3]",1.0198,"N/A","N/A","Fully Converged (Rhat < 1.05)"
"Muntjac","MJK",3,"NoSpatial","dist_str + elev + slope",0.5,14123.6,1498,"[11516.9, 17387.3]",1.0198,"N/A","N/A","Fully Converged (Rhat < 1.05)"
"Muntjac","MJK",4,"NoSpatial","dist_str + elev + slope + BB",0.82,14123.6,1498,"[11516.9, 17387.3]",1.0198,"N/A","N/A","Fully Converged (Rhat < 1.05)"
"Muntjac","MJK",5,"NoSpatial","slope + DE",0.94,14123.6,1498,"[11516.9, 17387.3]",1.0198,"N/A","N/A","Fully Converged (Rhat < 1.05)"
"Muntjac","MJK",6,"NoSpatial","ndvi_cv + slope",1.67,14123.6,1498,"[11516.9, 17387.3]",1.0198,"N/A","N/A","Fully Converged (Rhat < 1.05)"
"Muntjac","MJK",7,"Spatial","slope + DE",1.78,14216,1455.4,"[11752.4, 17451.8]",1.0242,"1.0182","1.1095","Acceptable Convergence (Rhat < 1.10)"
"Sambar deer","SBR",1,"Spatial","dist_str + ndvi_cv + elev + BB + DD",0,9530.5,1922.8,"[6498.7, 13826.2]",1.0214,"1.0145","1.1568","Acceptable Convergence (Rhat < 1.10)"
"Sambar deer","SBR",2,"Spatial","ndvi_cv + elev + BB",0.95,9306.5,1527.1,"[6811.8, 12804.9]",1.032,"1.0196","1.1611","Acceptable Convergence (Rhat < 1.10)"
"Sambar deer","SBR",3,"Spatial","ndvi_cv + elev + BB + DD",1.5,8869.8,1580.1,"[6240.9, 12550.8]",1.1093,"1.0410","1.4210","Adequate (Rhat <= 1.25)"
"Wild boar","PIG",1,"Spatial","slope",0,6395.1,2034.8,"[3733.2, 11567.4]",1.0028,"1.0432","1.3307","Acceptable Convergence (Rhat < 1.10)"
"Wild boar","PIG",2,"Spatial","slope + BB",0.68,6313.3,3067.5,"[3361.9, 12955.7]",1.0114,"1.0457","1.2757","Acceptable Convergence (Rhat < 1.10)"
