"Species","Species_Code","Model_Rank","Model_Type","Covariates","Parameter","Mean","SD","MCSE","ESS","Rhat","Rhat_UpperCI","Median","q2.5","q97.5","CI_95"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","AGS",2.16811134981464,0.161812549418348,0.00336094041005689,2317.9,1.0011,1.0013,2.15854823109931,1.88501369041321,2.5129144539679,"[1.8850, 2.5129]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","TOTAL_ABUND",3385.01664798469,4446.35036499326,241.881949082217,337.9,1,1.0001,2301.1009198899,1141.79406967226,12269.183424925,"[1141.7941, 12269.1834]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","beta[1]",-1.36248201180839,0.609251171837274,0.0566801617417389,115.5,1.0099,1.0101,-1.33452832842707,-2.69911943354998,-0.252656909220941,"[-2.6991, -0.2527]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","beta[2]",1.03800201466229,0.43012681326598,0.0309179866014497,193.5,1.1463,1.1465,1.02346616552668,0.253761111613074,1.92327306991697,"[0.2538, 1.9233]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","beta[3]",-0.0939173270071019,0.476622628221894,0.043731912342591,118.8,1.0049,1.0051,-0.0954782486925863,-1.04648421099939,0.816286466948667,"[-1.0465, 0.8163]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","beta[4]",-0.0498349069713994,1.49608915045153,0.0285993828900753,2736.5,1,1.0001,-0.0348986048211846,-3.0939232320516,2.8699080135895,"[-3.0939, 2.8699]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","beta[5]",-1.10720955801902,0.797129640609036,0.0284599275217149,784.5,1.0061,1.0063,-0.963072740276255,-2.96286177724566,0.069207167222673,"[-2.9629, 0.0692]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","beta[6]",-0.150873372085376,0.428132500462446,0.0210745232685079,412.7,1.0148,1.015,-0.0772536962324844,-1.21592780228688,0.470061581229891,"[-1.2159, 0.4701]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","beta[7]",-0.00919095115743327,1.48975122698406,0.0278432241175955,2862.8,1,1.0001,-0.0218205334999906,-2.89020639220238,2.98709233059213,"[-2.8902, 2.9871]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","beta0",-3.49403568749522,0.563313875868036,0.0496810922332319,128.6,1.0707,1.0709,-3.49910177677056,-4.56259323266436,-2.43567372411643,"[-4.5626, -2.4357]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","gs_k[1]",0.356467173319461,0.0470754782818348,0.000972927413994309,2341.1,1.001,1.0012,0.355888249402092,0.265723263137739,0.447917137131101,"[0.2657, 0.4479]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","gs_k[2]",0.31800979723821,0.00710090497520424,0.000150326942360826,2231.3,1.0014,1.0015,0.320604298978123,0.29858702017756,0.323814209100494,"[0.2986, 0.3238]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","gs_k[3]",0.191621451625743,0.018173527790083,0.000373828301612453,2363.4,1.0009,1.0011,0.192758181124773,0.154179064462795,0.223676838938229,"[0.1542, 0.2237]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","gs_k[4]",0.0877268367342366,0.0181810071897038,0.000376768408635409,2328.6,1.0011,1.0013,0.0868716436982289,0.0553930022839422,0.125670219928646,"[0.0554, 0.1257]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","gs_k[5]",0.0461747410823498,0.0170929281691767,0.000357000283073586,2292.4,1.0012,1.0014,0.0437007582203875,0.0206580850544697,0.0863426578178264,"[0.0207, 0.0863]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","muc",1.8117015493474,0.208725515368635,0.00433074346718908,2322.9,1.0011,1.0013,1.80270727169804,1.43710827164785,2.24735328084747,"[1.4371, 2.2474]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","p",0.0459005639310548,0.0424543469210782,0.00132757531180579,1022.6,1.0012,1.0013,0.0335250094131968,0.00147950495267311,0.157353418364136,"[0.0015, 0.1574]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","pi[1, 1]",0.0689286637832563,0.0090928161538677,0.000187258894156272,2357.8,1.001,1.0012,0.0688366320270595,0.0514099135166018,0.0866279533998151,"[0.0514, 0.0866]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","pi[2, 1]",0.061669527880559,0.00147634966663089,3.29108172645817e-05,2012.3,1.0017,1.0018,0.0620250655802852,0.0578417286543269,0.0635088740056781,"[0.0578, 0.0635]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","pi[3, 1]",0.0372478790939663,0.0035282402359949,7.22515577764026e-05,2384.6,1.0008,1.001,0.0374455779328926,0.0300151401162972,0.0434911311334844,"[0.0300, 0.0435]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","pi[4, 1]",0.0170862577207045,0.0035313306946057,7.28862240456739e-05,2347.4,1.001,1.0012,0.0169080197499618,0.0108401435530582,0.0244435911767387,"[0.0108, 0.0244]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","pi[5, 1]",0.00901339113074063,0.00332882116097352,6.93181956386363e-05,2306.1,1.0012,1.0014,0.00852476320059327,0.00405759749342442,0.0167925527182261,"[0.0041, 0.0168]"
"Banteng","BTG",4,"Spatial","dist_str + ndvi_cv + elev + BB + DD","pi[1, 2]",0.0564387175375403,0.00811615316032636,0.000171312591341441,2244.5,1.0011,1.0012,0.0562264863084398,0.0411823714217035,0.0727597056296026,"[0.0412, 0.0728]"
