"Species","Species_Code","Model_Rank","Model_Type","Covariates","Parameter","Mean","SD","MCSE","ESS","Rhat","Rhat_UpperCI","Median","q2.5","q97.5","CI_95"
"Gaur","GAR",1,"Spatial","ndvi_cv + elev + DE","AGS",1.62752174655668,0.0462962662795397,0.00151819603354854,929.9,1,1.0001,1.61317828032753,1.5831845938167,1.75683952006529,"[1.5832, 1.7568]"
"Gaur","GAR",1,"Spatial","ndvi_cv + elev + DE","TOTAL_ABUND",3159.7845560968,2263.98522740076,81.1776963154482,777.8,1.0008,1.001,2812.04914211617,1611.48194382276,6347.12280206344,"[1611.4819, 6347.1228]"
"Gaur","GAR",1,"Spatial","ndvi_cv + elev + DE","beta[1]",0.0212908363384299,1.5129724247592,0.0288712308885984,2746.2,1,1.0001,0.0205643656038416,-2.87951228111041,3.00536685461191,"[-2.8795, 3.0054]"
"Gaur","GAR",1,"Spatial","ndvi_cv + elev + DE","beta[2]",1.00719420926962,0.376763929763991,0.0181977851248282,428.6,1,1.0002,0.999637249660898,0.309205655685949,1.7605449947404,"[0.3092, 1.7605]"
"Gaur","GAR",1,"Spatial","ndvi_cv + elev + DE","beta[3]",-0.706401511264406,0.427868042439455,0.0250448423288693,291.9,1.0016,1.0018,-0.701279663427866,-1.56994723306404,0.112102221422294,"[-1.5699, 0.1121]"
"Gaur","GAR",1,"Spatial","ndvi_cv + elev + DE","beta[4]",-0.00583955830798896,1.49358189676019,0.0280702425450643,2831.2,1,1.0002,-0.0199672891300273,-2.97693196631151,2.94491555030077,"[-2.9769, 2.9449]"
"Gaur","GAR",1,"Spatial","ndvi_cv + elev + DE","beta[5]",-0.029913999222721,1.48687560034337,0.0278746400895419,2845.3,1,1.0001,-0.0683996023343143,-2.90018433508352,2.92025119288663,"[-2.9002, 2.9203]"
"Gaur","GAR",1,"Spatial","ndvi_cv + elev + DE","beta[6]",0.00886434434827766,1.50389761959111,0.0283376554744539,2816.5,1,1.0001,-0.00125786055290317,-2.87819411004965,2.92423149722628,"[-2.8782, 2.9242]"
"Gaur","GAR",1,"Spatial","ndvi_cv + elev + DE","beta[7]",0.97046738328319,0.336151256821549,0.0170733554359903,387.6,1.0001,1.0003,0.980440871647308,0.292333146322561,1.58664688781391,"[0.2923, 1.5866]"
"Gaur","GAR",1,"Spatial","ndvi_cv + elev + DE","beta0",-1.72230928898262,0.454772869673823,0.0311053509914042,213.8,1.0003,1.0005,-1.70322764262572,-2.65057610110663,-0.879076653837767,"[-2.6506, -0.8791]"
"Gaur","GAR",1,"Spatial","ndvi_cv + elev + DE","gs_k[1]",0.56041384511323,0.0215066757415681,0.00069431472175646,959.5,1,1.0001,0.566903945146647,0.501147799452051,0.581910023382367,"[0.5011, 0.5819]"
"Gaur","GAR",1,"Spatial","ndvi_cv + elev + DE","gs_k[2]",0.298483452350879,0.00630365227141343,0.000196472006891035,1029.4,1,1.0001,0.296754758580612,0.291486337693349,0.314975231756224,"[0.2915, 0.3150]"
"Gaur","GAR",1,"Spatial","ndvi_cv + elev + DE","gs_k[3]",0.106384907171476,0.00921631824803847,0.000298770691279001,951.6,1,1.0001,0.103560620870128,0.0973395446579229,0.13197623174111,"[0.0973, 0.1320]"
"Gaur","GAR",1,"Spatial","ndvi_cv + elev + DE","gs_k[4]",0.0285569777685647,0.00456552686230984,0.000151470222299841,908.5,1,1.0001,0.0271052153979125,0.0243793251920259,0.0414740368910878,"[0.0244, 0.0415]"
