"Species","Species_Code","Model_Rank","Model_Type","Covariates","Parameter","Mean","SD","MCSE","ESS","Rhat","Rhat_UpperCI","Median","q2.5","q97.5","CI_95"
"Muntjac","MJK",7,"Spatial","slope + DE","AGS",1.5896403344349,0.00795121676506972,0.000280520175556865,803.4,1.0005,1.0007,1.5874270231537,1.58214490837984,1.61139001382254,"[1.5821, 1.6114]"
"Muntjac","MJK",7,"Spatial","slope + DE","TOTAL_ABUND",14027.3362135152,1363.43124292596,68.1367695926488,400.4,1.0021,1.0023,13946.0791383601,11576.6096122697,16976.3571769456,"[11576.6096, 16976.3572]"
"Muntjac","MJK",7,"Spatial","slope + DE","beta[1]",-0.0182600502721765,1.51186323813153,0.028895922319019,2737.5,1,1.0001,-0.0120083320605726,-3.00583589511575,3.02890255493927,"[-3.0058, 3.0289]"
"Muntjac","MJK",7,"Spatial","slope + DE","beta[2]",-0.0428691463641525,1.48543537013572,0.0278780944941452,2839.1,1.0002,1.0004,-0.0582355245553057,-2.94245740715607,2.8158653766479,"[-2.9425, 2.8159]"
"Muntjac","MJK",7,"Spatial","slope + DE","beta[3]",-0.042444089095614,1.54925489485701,0.0295868788233934,2741.9,1,1.0001,-0.0539174179442747,-3.02466871933334,3.02414556792631,"[-3.0247, 3.0241]"
"Muntjac","MJK",7,"Spatial","slope + DE","beta[4]",-0.406559693651792,0.136773297537972,0.00784041740112548,304.3,1.0521,1.0523,-0.40590096291057,-0.68086535233795,-0.13768853671991,"[-0.6809, -0.1377]"
"Muntjac","MJK",7,"Spatial","slope + DE","beta[5]",0.0291194596700369,1.46768585377019,0.026801594653901,2998.8,1.0003,1.0004,-0.00421822986079357,-2.82348131852122,2.94091932409945,"[-2.8235, 2.9409]"
"Muntjac","MJK",7,"Spatial","slope + DE","beta[6]",0.0643593351817231,1.51779551641212,0.0291449256183778,2712.1,1.0002,1.0004,0.0943860758314981,-2.86417427532694,3.01932519490854,"[-2.8642, 3.0193]"
"Muntjac","MJK",7,"Spatial","slope + DE","beta[7]",-0.188957883105864,0.13271165042903,0.00461326539204811,827.6,1.0174,1.0176,-0.185411873850284,-0.460226595467386,0.0567593032052706,"[-0.4602, 0.0568]"
"Muntjac","MJK",7,"Spatial","slope + DE","beta0",0.918390991491077,0.130483071167576,0.00702629336972135,344.9,1.0142,1.0144,0.918876923233343,0.658614220591991,1.17267580655885,"[0.6586, 1.1727]"
"Muntjac","MJK",7,"Spatial","slope + DE","gs_k[1]",0.664118630268694,0.00261343179812748,9.1753411241161e-05,811.3,1.0005,1.0007,0.664841886536067,0.65697520273902,0.666610151191068,"[0.6570, 0.6666]"
"Muntjac","MJK",7,"Spatial","slope + DE","gs_k[2]",0.335881369731306,0.00261343179812748,9.17534112411609e-05,811.3,1.0005,1.0007,0.335158113463933,0.333389848808932,0.34302479726098,"[0.3334, 0.3430]"
"Muntjac","MJK",7,"Spatial","slope + DE","muc",1.01155719821544,0.0119555746509837,0.000421267777711253,805.4,1.0005,1.0007,1.00823404858036,1.00025434120151,1.04425493036785,"[1.0003, 1.0443]"
"Muntjac","MJK",7,"Spatial","slope + DE","p",0.010370140030249,0.0100819110234015,0.000307184889037162,1077.2,1.0053,1.0055,0.00745178507505468,0.000235751274184146,0.037460749814134,"[0.0002, 0.0375]"
"Muntjac","MJK",7,"Spatial","slope + DE","pi[1, 1]",0.125848789605173,0.000749000605004407,2.16611286371868e-05,1195.6,1,1.0002,0.125890911904338,0.124178529622759,0.127159353852323,"[0.1242, 0.1272]"
"Muntjac","MJK",7,"Spatial","slope + DE","pi[2, 1]",0.063717040266703,0.000584105930838751,1.98852243226865e-05,862.8,1.001,1.0011,0.0636239914624054,0.0628602662168975,0.0651428488628531,"[0.0629, 0.0651]"
"Muntjac","MJK",7,"Spatial","slope + DE","pi[1, 2]",0.0912544755327025,0.00291304948203095,7.53720593440362e-05,1493.7,1,1.0001,0.0912239735506098,0.0856386621918478,0.0971162649494295,"[0.0856, 0.0971]"
"Muntjac","MJK",7,"Spatial","slope + DE","pi[2, 2]",0.0464977019945056,0.00154589205146344,4.36957062997775e-05,1251.6,1.0007,1.0009,0.0464851318818899,0.0435733356528865,0.0495687101691869,"[0.0436, 0.0496]"
"Muntjac","MJK",7,"Spatial","slope + DE","pi[1, 3]",0.0480823792554399,0.0041422268755699,0.000107488470801064,1485.1,1,1.0001,0.0479677492769616,0.0404022715934347,0.056786488247552,"[0.0404, 0.0568]"
"Muntjac","MJK",7,"Spatial","slope + DE","pi[2, 3]",0.0248157092237039,0.00217417455569373,5.95557764503916e-05,1332.7,1.0005,1.0006,0.0247367074527904,0.0208477450548433,0.0293512020115554,"[0.0208, 0.0294]"
"Muntjac","MJK",7,"Spatial","slope + DE","pi[1, 4]",0.0184876967796248,0.00310615547889986,8.08745923230868e-05,1475.1,1,1.0001,0.0182733682236723,0.0130916493219692,0.0253793059673512,"[0.0131, 0.0254]"
"Muntjac","MJK",7,"Spatial","slope + DE","pi[2, 4]",0.00972803304340054,0.00165655953879536,4.40688020094679e-05,1413,1.0003,1.0005,0.00960756460801352,0.00689181043420622,0.0133475310976872,"[0.0069, 0.0133]"
"Muntjac","MJK",7,"Spatial","slope + DE","pi[1, 5]",0.00522023465521759,0.0014565984268894,3.74361169417421e-05,1513.9,1,1.0001,0.00504164937371215,0.00290881621025298,0.00867499747300449,"[0.0029, 0.0087]"
"Muntjac","MJK",7,"Spatial","slope + DE","pi[2, 5]",0.00281930685219322,0.000796795956288794,2.11878149844882e-05,1414.2,1.0002,1.0004,0.00272233955576463,0.001574449140007,0.00468446229896186,"[0.0016, 0.0047]"
"Muntjac","MJK",7,"Spatial","slope + DE","sigma[1]",34.8626871859598,1.53040776719597,0.0398611363204415,1474.1,1,1.0001,34.7865091798825,32.1072885409327,38.1751913809116,"[32.1073, 38.1752]"
"Muntjac","MJK",7,"Spatial","slope + DE","sigma[2]",35.2281855078489,1.5941684636086,0.042242382129504,1424.2,1.0003,1.0005,35.1487454328581,32.4004722974487,38.6479668313131,"[32.4005, 38.6480]"
"Muntjac","MJK",7,"Spatial","slope + DE","sigma0",3.55045893768195,0.0437290113927898,0.00113712447860052,1478.8,1,1.0001,3.5492296443733,3.46908306171228,3.64218586434456,"[3.4691, 3.6422]"
"Muntjac","MJK",7,"Spatial","slope + DE","sigma_spatial",0.492883235268185,0.208149210523548,0.0970951084642735,4.6,1.7787,1.779,0.494876649861735,0.194505971157467,1.01870073543657,"[0.1945, 1.0187]"
"Muntjac","MJK",7,"Spatial","slope + DE","b_spatial[3013_nodes_summary]",1.33150318245585e-19,0.293814689979554,0.0124784083063918,580.3,1.0151,1.3303,0.00239985104731675,-0.646463513017502,0.628651064430773,"[-0.6465, 0.6287]"
