"Species","Species_Code","Model_Rank","Model_Type","Covariates","Parameter","Mean","SD","MCSE","ESS","Rhat","Rhat_UpperCI","Median","q2.5","q97.5","CI_95"
"Wild boar","PIG",2,"Spatial","slope + BB","AGS",1.63538092881982,0.0486519443488747,0.0013878512736644,1228.9,1.0019,1.002,1.62096608391516,1.58384839537745,1.76267476408471,"[1.5838, 1.7627]"
"Wild boar","PIG",2,"Spatial","slope + BB","TOTAL_ABUND",6313.29017943128,3067.46851008879,131.492245105977,544.2,1.0114,1.0115,5685.27572740993,3361.88672701852,12955.7373099398,"[3361.8867, 12955.7373]"
"Wild boar","PIG",2,"Spatial","slope + BB","beta[1]",-0.0673526053092435,1.51685081259561,0.028276689326736,2877.6,1,1.0001,-0.0869965525214287,-3.07036126682909,2.91396355792674,"[-3.0704, 2.9140]"
"Wild boar","PIG",2,"Spatial","slope + BB","beta[2]",0.00350900198665022,1.53347320948797,0.0289550807120127,2804.8,1,1.0002,0.0461806585538175,-3.01566081145093,2.981944323462,"[-3.0157, 2.9819]"
"Wild boar","PIG",2,"Spatial","slope + BB","beta[3]",0.0430595903962373,1.49989058062887,0.0290499564057663,2665.8,1.0012,1.0014,0.0774036323812566,-2.92692438254649,3.01308785497367,"[-2.9269, 3.0131]"
"Wild boar","PIG",2,"Spatial","slope + BB","beta[4]",0.443883053476825,0.246990332624083,0.00884465892810769,779.8,1.0004,1.0006,0.451560953081791,-0.04660793471049,0.909005903417621,"[-0.0466, 0.9090]"
"Wild boar","PIG",2,"Spatial","slope + BB","beta[5]",-0.678042500537869,1.02592328657422,0.0625032571562091,269.4,1.0022,1.0024,-0.376780243828437,-3.21812511329892,0.55174663028092,"[-3.2181, 0.5517]"
"Wild boar","PIG",2,"Spatial","slope + BB","beta[6]",-0.0180112203322574,1.50751559932188,0.0293863243720661,2631.7,1,1.0001,-0.00487985172779697,-2.97405318821191,2.84165633843338,"[-2.9741, 2.8417]"
"Wild boar","PIG",2,"Spatial","slope + BB","beta[7]",0.0506913832407598,1.50439918199977,0.028496553828367,2787,1,1.0001,0.0747359186530224,-2.81818395350893,2.94480442160625,"[-2.8182, 2.9448]"
"Wild boar","PIG",2,"Spatial","slope + BB","beta0",-0.399835644944267,0.300742649622155,0.0183903215360339,267.4,1.0063,1.0065,-0.376773252181266,-1.06286175514353,0.123506755142014,"[-1.0629, 0.1235]"
"Wild boar","PIG",2,"Spatial","slope + BB","gs_k[1]",0.555908864588062,0.0227281676875236,0.000644516134747266,1243.5,1.0018,1.0019,0.562397653463666,0.497319248628809,0.581019005370467,"[0.4973, 0.5810]"
"Wild boar","PIG",2,"Spatial","slope + BB","gs_k[2]",0.299233451189411,0.00637662839007394,0.000177251573517426,1294.2,1.0014,1.0016,0.297668200658319,0.291331467369064,0.314642827096236,"[0.2913, 0.3146]"
"Wild boar","PIG",2,"Spatial","slope + BB","gs_k[3]",0.107821094747863,0.00958533315299188,0.000272065061806029,1241.3,1.0018,1.0019,0.105034053322066,0.0973852525705187,0.132711678888443,"[0.0974, 0.1327]"
