"Species","Species_Code","Model_Rank","Model_Type","Covariates","Parameter","Mean","SD","MCSE","ESS","Rhat","Rhat_UpperCI","Median","q2.5","q97.5","CI_95"
"Sambar deer","SBR",2,"Spatial","ndvi_cv + elev + BB","AGS",1.59028107491651,0.00807572057751156,0.000261939669144193,950.5,1,1.0001,1.58775436314453,1.5822392147681,1.61271959846657,"[1.5822, 1.6127]"
"Sambar deer","SBR",2,"Spatial","ndvi_cv + elev + BB","TOTAL_ABUND",9306.45217108999,1527.08179375323,93.2324278551845,268.3,1.032,1.0321,9116.97070649614,6811.8425476518,12804.8712175167,"[6811.8425, 12804.8712]"
"Sambar deer","SBR",2,"Spatial","ndvi_cv + elev + BB","beta[1]",0.00330722183334774,1.47736605499591,0.0275361948019687,2878.5,1,1.0001,-0.0428184555697499,-2.88178773734007,2.87457458179073,"[-2.8818, 2.8746]"
"Sambar deer","SBR",2,"Spatial","ndvi_cv + elev + BB","beta[2]",-1.34563416842492,0.28910587911465,0.0211778333408204,186.4,1.0186,1.0187,-1.33635320272568,-1.92045488003575,-0.801142942228255,"[-1.9205, -0.8011]"
"Sambar deer","SBR",2,"Spatial","ndvi_cv + elev + BB","beta[3]",-2.41753050406982,0.307300331143893,0.0380765383304839,65.1,1.0065,1.0067,-2.41053314200092,-3.0675433262793,-1.86151284270436,"[-3.0675, -1.8615]"
"Sambar deer","SBR",2,"Spatial","ndvi_cv + elev + BB","beta[4]",0.0386833166725853,1.4939811075015,0.0271796057710552,3021.4,1,1.0002,0.00962292064897818,-2.8502166602755,3.04137030056677,"[-2.8502, 3.0414]"
"Sambar deer","SBR",2,"Spatial","ndvi_cv + elev + BB","beta[5]",-1.68524627348955,1.03037305342489,0.10134109638017,103.4,1.0015,1.0017,-1.58024622611102,-3.88346074106868,0.0163361113509492,"[-3.8835, 0.0163]"
"Sambar deer","SBR",2,"Spatial","ndvi_cv + elev + BB","beta[6]",-0.00649877415461742,1.47047821810562,0.0267229359355733,3028,1,1.0001,0.00112331929659526,-2.93763273565147,2.84913051671515,"[-2.9376, 2.8491]"
"Sambar deer","SBR",2,"Spatial","ndvi_cv + elev + BB","beta[7]",0.00264571985655214,1.51115095209159,0.0291221952890236,2692.6,1.0007,1.0008,0.0334156169805697,-2.89434798871749,2.99584038598794,"[-2.8943, 2.9958]"
"Sambar deer","SBR",2,"Spatial","ndvi_cv + elev + BB","beta0",-0.986176991146658,0.358566229466417,0.0418102341449249,73.5,1.0032,1.0033,-0.969763619428206,-1.80965071931632,-0.341081733273815,"[-1.8097, -0.3411]"
"Sambar deer","SBR",2,"Spatial","ndvi_cv + elev + BB","gs_k[1]",0.596270353054845,0.0035933520711221,0.000116401189353537,953,1,1.0001,0.597388420565129,0.586317478188876,0.599880932927958,"[0.5863, 0.5999]"
"Sambar deer","SBR",2,"Spatial","ndvi_cv + elev + BB","gs_k[2]",0.301846879348021,0.00176349500063132,5.70520647584491e-05,955.4,1,1.0001,0.301301238843874,0.300059524084334,0.306715870937641,"[0.3001, 0.3067]"
