"Species","Rank","Delta_wAIC","Covariate","Mean_Beta","SD","CI_95_Lower","CI_95_Upper","Effect_Direction","Inclusion"
"Banteng",1,0,"dist_str",-1.464,0.594,-2.727,-0.42,"Negative (-)","Active in Model (w = 1.0)"
"Banteng",1,0,"ndvi_cv",1.264,0.415,0.457,2.067,"Positive (+)","Active in Model (w = 1.0)"
"Banteng",1,0,"slope",-0.257,0.398,-1.133,0.432,"Overlap 0","Active in Model (w = 1.0)"
"Banteng",1,0,"BB",-1.014,0.835,-3.031,0.194,"Overlap 0","Active in Model (w = 1.0)"
"Banteng",2,1.11,"dist_str",-1.232,0.7,-2.713,-0.027,"Negative (-)","Active in Model (w = 1.0)"
"Banteng",2,1.11,"ndvi_cv",1.451,0.474,0.523,2.341,"Positive (+)","Active in Model (w = 1.0)"
"Banteng",2,1.11,"elev",-0.23,0.644,-1.548,1,"Overlap 0","Active in Model (w = 1.0)"
"Banteng",2,1.11,"BB",-1.039,0.847,-3.019,0.17,"Overlap 0","Active in Model (w = 1.0)"
"Banteng",2,1.11,"DE",0.119,0.677,-1.33,1.297,"Overlap 0","Active in Model (w = 1.0)"
"Banteng",3,1.32,"dist_str",-1.337,0.7,-2.882,-0.123,"Negative (-)","Active in Model (w = 1.0)"
"Banteng",3,1.32,"ndvi_cv",1.226,0.467,0.285,2.145,"Positive (+)","Active in Model (w = 1.0)"
"Banteng",3,1.32,"elev",-0.077,0.521,-1.081,1.005,"Overlap 0","Active in Model (w = 1.0)"
"Banteng",3,1.32,"slope",-0.267,0.471,-1.308,0.545,"Overlap 0","Active in Model (w = 1.0)"
"Banteng",3,1.32,"BB",-0.968,0.796,-2.841,0.24,"Overlap 0","Active in Model (w = 1.0)"
"Banteng",4,1.43,"dist_str",-1.362,0.609,-2.699,-0.253,"Negative (-)","Active in Model (w = 1.0)"
"Banteng",4,1.43,"ndvi_cv",1.038,0.43,0.254,1.923,"Positive (+)","Active in Model (w = 1.0)"
"Banteng",4,1.43,"elev",-0.094,0.477,-1.046,0.816,"Overlap 0","Active in Model (w = 1.0)"
"Banteng",4,1.43,"BB",-1.107,0.797,-2.963,0.069,"Overlap 0","Active in Model (w = 1.0)"
"Banteng",4,1.43,"DD",-0.151,0.428,-1.216,0.47,"Overlap 0","Active in Model (w = 1.0)"
"Gaur",1,0,"ndvi_cv",1.007,0.377,0.309,1.761,"Positive (+)","Active in Model (w = 1.0)"
"Gaur",1,0,"elev",-0.706,0.428,-1.57,0.112,"Overlap 0","Active in Model (w = 1.0)"
"Gaur",1,0,"DE",0.97,0.336,0.292,1.587,"Positive (+)","Active in Model (w = 1.0)"
"Gaur",2,1.6,"ndvi_cv",1.126,0.475,0.212,2.099,"Positive (+)","Active in Model (w = 1.0)"
"Gaur",2,1.6,"elev",-0.633,0.497,-1.649,0.3,"Overlap 0","Active in Model (w = 1.0)"
"Gaur",2,1.6,"BB",-1.221,0.824,-3.09,0.043,"Overlap 0","Active in Model (w = 1.0)"
"Gaur",2,1.6,"DE",1.093,0.385,0.328,1.869,"Positive (+)","Active in Model (w = 1.0)"
"Muntjac",1,0,"elev",-0.537,0.204,-0.927,-0.112,"Negative (-)","Active in Model (w = 1.0)"
"Muntjac",1,0,"slope",-0.291,0.127,-0.553,-0.051,"Negative (-)","Active in Model (w = 1.0)"
"Muntjac",2,0.23,"slope",-0.291,0.127,-0.553,-0.051,"Negative (-)","Active in Model (w = 1.0)"
"Muntjac",3,0.5,"dist_str",0.323,0.142,0.024,0.587,"Positive (+)","Active in Model (w = 1.0)"
"Muntjac",3,0.5,"elev",-0.537,0.204,-0.927,-0.112,"Negative (-)","Active in Model (w = 1.0)"
"Muntjac",3,0.5,"slope",-0.291,0.127,-0.553,-0.051,"Negative (-)","Active in Model (w = 1.0)"
"Muntjac",4,0.82,"dist_str",0.323,0.142,0.024,0.587,"Positive (+)","Active in Model (w = 1.0)"
"Muntjac",4,0.82,"elev",-0.537,0.204,-0.927,-0.112,"Negative (-)","Active in Model (w = 1.0)"
"Muntjac",4,0.82,"slope",-0.291,0.127,-0.553,-0.051,"Negative (-)","Active in Model (w = 1.0)"
"Muntjac",4,0.82,"BB",-1.676,1.035,-3.805,0.177,"Overlap 0","Active in Model (w = 1.0)"
"Muntjac",5,0.94,"slope",-0.291,0.127,-0.553,-0.051,"Negative (-)","Active in Model (w = 1.0)"
"Muntjac",5,0.94,"DE",-0.107,0.127,-0.368,0.125,"Overlap 0","Active in Model (w = 1.0)"
"Muntjac",6,1.67,"ndvi_cv",-0.129,0.121,-0.365,0.107,"Overlap 0","Active in Model (w = 1.0)"
"Muntjac",6,1.67,"slope",-0.291,0.127,-0.553,-0.051,"Negative (-)","Active in Model (w = 1.0)"
"Muntjac",7,1.78,"slope",-0.386,0.138,-0.66,-0.11,"Negative (-)","Active in Model (w = 1.0)"
"Muntjac",7,1.78,"DE",-0.183,0.135,-0.465,0.065,"Overlap 0","Active in Model (w = 1.0)"
"Sambar deer",1,0,"dist_str",-0.165,0.313,-0.837,0.434,"Overlap 0","Active in Model (w = 1.0)"
"Sambar deer",1,0,"ndvi_cv",-1.324,0.326,-1.966,-0.695,"Negative (-)","Active in Model (w = 1.0)"
"Sambar deer",1,0,"elev",-2.182,0.356,-2.996,-1.53,"Negative (-)","Active in Model (w = 1.0)"
"Sambar deer",1,0,"BB",-1.719,0.929,-3.683,-0.101,"Negative (-)","Active in Model (w = 1.0)"
"Sambar deer",1,0,"DD",-0.522,0.579,-1.975,0.313,"Overlap 0","Active in Model (w = 1.0)"
"Sambar deer",2,0.95,"ndvi_cv",-1.346,0.289,-1.92,-0.801,"Negative (-)","Active in Model (w = 1.0)"
"Sambar deer",2,0.95,"elev",-2.418,0.307,-3.068,-1.862,"Negative (-)","Active in Model (w = 1.0)"
"Sambar deer",2,0.95,"BB",-1.685,1.03,-3.883,0.016,"Overlap 0","Active in Model (w = 1.0)"
"Sambar deer",3,1.5,"ndvi_cv",-1.181,0.35,-1.863,-0.473,"Negative (-)","Active in Model (w = 1.0)"
"Sambar deer",3,1.5,"elev",-2.373,0.349,-3.088,-1.693,"Negative (-)","Active in Model (w = 1.0)"
"Sambar deer",3,1.5,"BB",-1.694,0.933,-3.739,-0.152,"Negative (-)","Active in Model (w = 1.0)"
"Sambar deer",3,1.5,"DD",-0.564,0.549,-1.961,0.204,"Overlap 0","Active in Model (w = 1.0)"
"Wild boar",1,0,"slope",0.481,0.217,0.042,0.902,"Positive (+)","Active in Model (w = 1.0)"
"Wild boar",2,0.68,"slope",0.444,0.247,-0.047,0.909,"Overlap 0","Active in Model (w = 1.0)"
"Wild boar",2,0.68,"BB",-0.678,1.026,-3.218,0.552,"Overlap 0","Active in Model (w = 1.0)"
