"Species","Rank","Covariates","wAIC","Delta_wAIC","Weight","lppd","pWAIC","Type","CI_2.5","CI_5","CI_25","CI_50","CI_75","CI_95","CI_97.5","beta0_2.5.","beta0_5.","beta0_10.","beta0_25.","beta0_50.","beta0_75.","beta0_90.","beta0_95.","beta0_97.5.","dist_str_2.5.","dist_str_5.","dist_str_10.","dist_str_25.","dist_str_50.","dist_str_75.","dist_str_90.","dist_str_95.","dist_str_97.5.","ndvi_cv_2.5.","ndvi_cv_5.","ndvi_cv_10.","ndvi_cv_25.","ndvi_cv_50.","ndvi_cv_75.","ndvi_cv_90.","ndvi_cv_95.","ndvi_cv_97.5.","elev_2.5.","elev_5.","elev_10.","elev_25.","elev_50.","elev_75.","elev_90.","elev_95.","elev_97.5.","slope_2.5.","slope_5.","slope_10.","slope_25.","slope_50.","slope_75.","slope_90.","slope_95.","slope_97.5.","BB_2.5.","BB_5.","BB_10.","BB_25.","BB_50.","BB_75.","BB_90.","BB_95.","BB_97.5.","DD_2.5.","DD_5.","DD_10.","DD_25.","DD_50.","DD_75.","DD_90.","DD_95.","DD_97.5.","DE_2.5.","DE_5.","DE_10.","DE_25.","DE_50.","DE_75.","DE_90.","DE_95.","DE_97.5.","beta0_2.5..1","beta0_5..1","beta0_10..1","beta0_25..1","beta0_50..1","beta0_75..1","beta0_90..1","beta0_95..1","beta0_97.5..1","slope_2.5..1","slope_5..1","slope_10..1","slope_25..1","slope_50..1","slope_75..1","slope_90..1","slope_95..1","slope_97.5..1","BB_2.5..1","BB_5..1","BB_10..1","BB_25..1","BB_50..1","BB_75..1","BB_90..1","BB_95..1","BB_97.5..1","elev_2.5..1","elev_5..1","elev_10..1","elev_25..1","elev_50..1","elev_75..1","elev_90..1","elev_95..1","elev_97.5..1","ndvi_cv_2.5..1","ndvi_cv_5..1","ndvi_cv_10..1","ndvi_cv_25..1","ndvi_cv_50..1","ndvi_cv_75..1","ndvi_cv_90..1","ndvi_cv_95..1","ndvi_cv_97.5..1","elev_2.5..2","elev_5..2","elev_10..2","elev_25..2","elev_50..2","elev_75..2","elev_90..2","elev_95..2","elev_97.5..2","slope_2.5..2","slope_5..2","slope_10..2","slope_25..2","slope_50..2","slope_75..2","slope_90..2","slope_95..2","slope_97.5..2","dist_str_2.5..1","dist_str_5..1","dist_str_10..1","dist_str_25..1","dist_str_50..1","dist_str_75..1","dist_str_90..1","dist_str_95..1","dist_str_97.5..1","BB_2.5..2","BB_5..2","BB_10..2","BB_25..2","BB_50..2","BB_75..2","BB_90..2","BB_95..2","BB_97.5..2","DE_2.5..1","DE_5..1","DE_10..1","DE_25..1","DE_50..1","DE_75..1","DE_90..1","DE_95..1","DE_97.5..1","ndvi_cv_2.5..2","ndvi_cv_5..2","ndvi_cv_10..2","ndvi_cv_25..2","ndvi_cv_50..2","ndvi_cv_75..2","ndvi_cv_90..2","ndvi_cv_95..2","ndvi_cv_97.5..2","Model_Weight"
"Banteng",1,"dist_str + ndvi_cv + slope + BB",269.46,0,0.342309469333608,-124.274718523357,10.4571176728808,"Spatial",1420.79866757515,1598.64462497802,2177.56253677686,2768.14138440369,3620.39147332393,6336.50660385942,8035.64153776047,-4.95208621103384,-4.73173662809999,-4.45436091418576,-4.05185995781251,-3.64466355768998,-3.29837705690698,-2.97105543631071,-2.80242429916062,-2.62918010548612,-2.62408002437593,-2.46529341337722,-2.25270037505287,-1.86773188632182,-1.4305382346521,-1.05017558293568,-0.706992427996534,-0.528606500371484,-0.372125297461194,0.323530244270343,0.45239155168873,0.643492035808841,0.907303987804787,1.16764777181352,1.44524110755281,1.70319955980175,1.87285601591879,2.02717424266994,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.09586649985192,-0.972923716808671,-0.783350737742767,-0.497449678321981,-0.223217811150076,0.0363430843607472,0.247292654513897,0.386123239774596,0.489799548043797,-2.99950043077832,-2.50729309815996,-2.0995708125883,-1.45576249386875,-0.83283075559253,-0.373327195864585,-0.0683547025752418,0.0902627601026566,0.233048294298119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0733
"Banteng",2,"dist_str + ndvi_cv + elev + BB + DE",270.58,1.11,0.196346922579791,-124.416062662392,10.8716056350782,"Spatial",1451.37970162861,1631.7479818481,2342.87482075355,3008.77861066307,3994.69624553375,6873.21727282922,8670.64319458962,-4.82112633888902,-4.64520666142977,-4.42502855217576,-4.03758576353376,-3.63624969147205,-3.26714859576335,-2.93448100273261,-2.67491895853904,-2.52092634152438,-2.53667709440303,-2.29965399594926,-2.0338231527648,-1.60832065040073,-1.14893471946271,-0.750283343119686,-0.416469977968859,-0.225402173806754,-0.0760029945567542,0.434569608643157,0.561354903497639,0.724976892676915,0.985635900946072,1.26957812576706,1.56708687470207,1.81015269557221,1.96621172113453,2.08047246631314,-1.41513090201051,-1.17574934438738,-0.988712330003994,-0.635697893525518,-0.22618426360018,0.125043261567514,0.421957291994292,0.587649232746854,0.739796888673454,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.72561284106376,-2.36959119721941,-2.01903671488601,-1.40199122101297,-0.868099693150939,-0.410343422402961,-0.107384800851818,0.0481554834984525,0.175180580774,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.22739670814732,-0.954076721019523,-0.661953616628858,-0.261150127641859,0.135449163942775,0.503857401520538,0.869344066377645,1.08010062050877,1.2372142673619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0421
"Banteng",3,"dist_str + ndvi_cv + elev + slope + BB",270.79,1.32,0.176533524202932,-124.428620934198,10.9654196738731,"Spatial",1384.73332650156,1531.04305650497,2129.19228707651,2770.57908094114,3767.0872058538,6450.21203902525,8085.15252054144,-5.00206907914966,-4.85802486431202,-4.63854018192183,-4.13886998083414,-3.62999183714912,-3.21453248766754,-2.88271140206996,-2.68054619400144,-2.54174499504532,-2.6553827087889,-2.44776798004777,-2.17690062011203,-1.75946736546473,-1.3235817312335,-0.933080305114073,-0.56510175382914,-0.389377143444734,-0.231720792008463,0.41652417335707,0.553460865769632,0.699589203574166,0.941435012496181,1.26083925786947,1.55865054444253,1.81005996675403,1.97926178243171,2.09002748166227,-1.04533309248833,-0.885224694011628,-0.677915515646242,-0.371443046304664,-0.00651987975509023,0.320290565130042,0.613507270321544,0.799937822276686,0.976502042747806,-1.20825814632588,-1.00474784864409,-0.770294344087763,-0.391064593492898,-0.0936379261562222,0.181755093322036,0.394402462811295,0.526764821844058,0.625134076649449,-2.8580109183732,-2.51357433806876,-2.07431033588544,-1.43126578098908,-0.844517256427256,-0.408780948192648,-0.133581719132957,0.0487590333857261,0.183482095627452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0379
"Banteng",4,"dist_str + ndvi_cv + elev + BB + DD",270.89,1.43,0.167691216756365,-124.42865712788,11.0167699846362,"Spatial",1099.4521753854,1228.18145628537,1721.87993283159,2293.46974428074,3277.87113906794,6884.83679595643,8813.70961587129,-4.72220377067849,-4.52971173138394,-4.30209721084254,-3.96166944194495,-3.56758728900854,-3.13928818053299,-2.79663689301541,-2.53162705450332,-2.283901301929,-2.72544596971989,-2.53783423596808,-2.30856608501593,-1.87005263984478,-1.34327347847186,-0.89425409064412,-0.550743355289727,-0.368280568914981,-0.235183834438106,0.284552145747803,0.412544625157931,0.554500610683641,0.794142512082186,1.07673971152167,1.37372319239567,1.64825677603892,1.8010040932873,1.96412451432453,-0.973248015005677,-0.838024133188098,-0.67243097369628,-0.343952370865385,-0.00376315697899456,0.336876381183678,0.628545951066789,0.799409725826206,0.947007951393186,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.99680833641364,-2.66746247179895,-2.26633583179477,-1.56592348967959,-0.996969824726259,-0.536579652632352,-0.207128835023825,-0.0430613493883172,0.0955994139778584,-1.22971687257269,-1.03235755002245,-0.805959267945773,-0.43756015702391,-0.1172780796266,0.108470237600198,0.255312325995229,0.345751968181386,0.393780984664461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0359
"Banteng",5,"dist_str + ndvi_cv + elev + BB + DD + DE",271.61,2.15,0.117118867127304,-124.742998941747,11.061363086074,"Spatial",1293.58284822408,1431.65760068838,2089.43602069296,2906.2908866086,4632.65434391877,10981.1030372686,16089.5051729364,-5.05554986194469,-4.80710059410983,-4.57863542557001,-4.16632882108902,-3.74167341708729,-3.3847899387436,-3.02197805739034,-2.77227986474612,-2.62305179570603,-2.48152232932919,-2.27763888041051,-1.98040785686593,-1.62446565130489,-1.19731438406649,-0.791265665820903,-0.443693253208139,-0.226587513044702,-0.0353210420000374,0.693551451478106,0.793090265848823,0.920595397314157,1.17195220810516,1.45619652613033,1.73419633776097,1.99367757377788,2.13422483813109,2.2744137750445,-1.42204737649328,-1.27627154820185,-1.0460534360824,-0.625744156513125,-0.139547077448331,0.280648915134504,0.718453729827154,0.922831532944171,1.09511414532798,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.90425037162659,-2.50989515529654,-2.0705735538897,-1.47271410642745,-0.873606741814862,-0.421067626302057,-0.0935408706125006,0.0516895981932129,0.157468088813413,-1.18027485230736,-0.949533656146081,-0.745229411874024,-0.417743432854126,-0.149991549923413,0.057191627698931,0.209890498628561,0.295136842509138,0.368408943790983,-1.37431386071738,-1.16840236478455,-0.894731703175407,-0.437726917613773,0.0435065314347877,0.503604773146311,0.864504578912556,1.07109023773071,1.29034023408638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025
"Banteng",6,"dist_str + ndvi_cv + elev + BB + DD + DE",361.82,92.35,3.02334342295313e-21,-169.516110562577,11.3916092038477,"NoSpatial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Banteng",7,"dist_str + ndvi_cv + elev + BB + DE",362.79,93.33,1.8526788594134e-21,-171.650860495492,9.7465899598173,"NoSpatial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Banteng",8,"dist_str + ndvi_cv + elev + BB + DD",363.87,94.4,1.0836471329409e-21,-171.121162054943,10.8125886972792,"NoSpatial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Banteng",9,"dist_str + ndvi_cv + elev + slope + BB",364.07,94.61,9.7890817540885e-22,-170.595510587179,11.4398899270707,"NoSpatial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Banteng",10,"dist_str + ndvi_cv + slope + BB",364.38,94.91,8.40460292233292e-22,-170.464124566352,11.7237640830551,"NoSpatial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
