"Species","Metric","Mean","SD","MCSE","Median","q2.5%","q5%","q10%","q25%","q50%","q75%","q90%","q95%","q97.5%"
"Banteng","Cluster Density (groups/km2)",0.363786775134683,0.263513718955875,0.0153057823673616,0.309973202929555,0.199051443007918,0.213086153354268,0.230620595229491,0.264338293987492,0.309973202929555,0.36914860143436,0.469090799365773,0.645306647831471,0.982908613000493
"Banteng","Total Cluster Abundance",1095.36197993053,793.439807776139,46.0857107081255,933.329314020892,599.343894896841,641.602407749699,694.398612235998,795.922603196339,933.329314020892,1111.50643891886,1412.43239689034,1943.01831662056,2959.53783374448
"Banteng","Individual Density (ind/km2)",0.836744255446642,0.617532580000851,0.0358427900951871,0.711590929244374,0.43514556780103,0.467860852611819,0.511345067777182,0.596145143612958,0.711590929244374,0.863963985879158,1.10321075800152,1.50649473903722,2.25125503260683
"Banteng","Total Individual Abundance",2519.43695314984,1859.39059838256,107.922640976608,2142.60028795481,1310.2233046489,1408.72902721419,1539.6599990771,1794.99302741862,2142.60028795481,2601.39556148214,3321.76759234256,4536.05565924107,6778.52890317915
"Sambar deer","Individual Density (ind/km2)",2.99620119269927,0.675906986986632,NA,2.99620119269927,2.19645673661991,2.30149362877578,NA,2.68231948483673,2.99620119269927,3.39459422898263,4.23667182357141,4.23667182357141,4.84601212560751
"Sambar deer","Total Individual Abundance",9021.5617912175,2035.15593781675,NA,9021.5617912175,6613.53123396255,6929.79731624386,NA,8076.46396884339,9021.5617912175,10221.1232234667,12756.6188607735,12756.6188607735,14591.3425102042
"Gaur","Individual Density (ind/km2)",1.24035283911446,1.65599948648206,NA,1.24035283911446,0.576143507362331,0.640725129316679,NA,0.925656396635098,1.24035283911446,1.74137406518174,3.88851173948416,3.88851173948416,7.067661494372
"Gaur","Total Individual Abundance",3734.70239857364,4986.21445379748,NA,3734.70239857364,1734.76810066798,1929.22336437252,NA,2787.15141026828,3734.70239857364,5243.27731026222,11708.3088475868,11708.3088475868,21280.7287595541
"Muntjac","Individual Density (ind/km2)",4.90701814611335,0.465469797877816,NA,4.90701814611335,4.09128266128721,4.20482998444796,NA,4.61132746383803,4.90701814611335,5.23739439735882,5.73892398443139,5.73892398443139,5.91592426896825
"Muntjac","Total Individual Abundance",14775.0316379473,1401.5295614101,NA,14775.0316379473,12318.8520931358,12660.7430831728,NA,13884.7069936163,14775.0316379473,15769.7945304474,17279.9001171229,17279.9001171229,17812.8479738634
"Wild boar","Individual Density (ind/km2)",1.92437198815191,0.766437181826714,NA,1.92437198815191,1.08842452038511,1.18367201549057,NA,1.56422181836085,1.92437198815191,2.40715902920256,3.58845131335729,3.58845131335729,4.09285827314583
"Wild boar","Total Individual Abundance",5794.28405632539,2307.74235448024,NA,5794.28405632539,3277.24623087957,3564.03643864211,NA,4709.87189508451,5794.28405632539,7247.95583692891,10804.8269045188,10804.8269045188,12323.5962604421
