grid_id,dist_ranger,dist_salt,dist_vill,dist_str,ndvi_cv,slope
1,5000,6324.56,16278.8,6708.2,0.0762,23.8693
2,5000,5099.02,15524.2,5385.17,0.0571,24.1181
3,4242.64,5385.17,15297.1,5830.95,0.0776,87.2037
4,3605.55,5830.95,15132.7,6403.12,0.1247,107.539
5,3162.28,6403.12,15033.3,7071.07,0.0855,61.6741
6,3000,7071.07,15000,7810.25,0.1354,28.4622
7,5385.17,4000,14866.1,4123.11,0.1701,71.2137
8,4472.14,4123.11,14560.2,4472.14,0.1135,55.0416
9,3605.55,4472.14,14317.8,5000,0.1266,97.6548
10,2828.43,5000,14142.1,5656.85,0.1407,99.5745
11,2236.07,5656.85,14035.7,6403.12,0.0846,65.441
12,2000,6403.12,14000,7071.07,0.1015,59.4991
13,4472.14,3162.28,18384.8,1414.21,0.3325,60.4799
14,4123.11,3000,17691.8,1000,0.7153,75.9377
15,4472.14,4242.64,15811.4,2000,0.2082,90.0173
16,5000,4242.64,15264.3,2000,0.2203,106.692
17,5656.85,3605.55,14764.8,2236.07,0.3303,116.322
18,6082.76,3162.28,14317.8,2828.43,0.2673,46.114
19,5099.02,3000,13928.4,3162.28,0.2438,57.3358
20,4123.11,3162.28,13601.5,3605.55,0.2039,143.66
21,3162.28,3605.55,13341.7,4242.64,0.21,103.306
22,2236.07,4242.64,13152.9,5000,0.0842,57.7344
23,1414.21,5000,13038.4,5656.85,0.0795,47.8699
24,1000,5830.95,13000,6082.76,0.1147,42.5576
25,1414.21,6708.2,13038.4,6324.56,0.1009,51.5157
26,2236.07,7615.77,13152.9,6708.2,0.1335,52.8567
27,5000,3605.55,19209.4,3000,0.1288,58.2509
28,4242.64,2828.43,18439.1,2000,0.2209,61.3676
29,3605.55,2236.07,17691.8,1000,0.2435,85.1082
30,3162.28,2000,16970.6,0,0.489,81.7606
31,3000,2236.07,16278.8,0,2.0692,4.722
32,3162.28,2828.43,15620.5,1000,0.2063,7.0614
33,3605.55,3605.55,15000,1000,0.2265,76.0566
34,4242.64,3605.55,14422.2,1000,0.3518,88.1243
35,5000,2828.43,13892.4,1414.21,0.269,89.5261
36,5830.95,2236.07,13416.4,2000,0.2316,108.116
37,5000,2000,13000,2236.07,0.2453,115.22
38,4000,2236.07,12649.1,2828.43,0.2502,52.2347
39,3000,2828.43,12369.3,3605.55,0.1071,57.2599
40,2000,3605.55,12165.5,4242.64,0.1116,78.8799
41,1000,4472.14,12041.6,5000,0.123,50.6844
42,0,5385.17,12000,5099.02,0.1478,28.6785
43,1000,6324.56,12041.6,5385.17,0.1055,32.4836
44,2000,7280.11,12165.5,5830.95,0.1163,46.966
45,4472.14,3162.28,18601.1,3162.28,0.1261,64.9774
46,3605.55,2236.07,17804.5,2236.07,0.1403,61.6249
47,2828.43,1414.21,17029.4,1414.21,0.2033,98.1391
48,2236.07,1000,16278.8,1000,0.2873,79.445
49,2000,1414.21,15556.3,0,0.4051,8.0795
50,2236.07,2236.07,14866.1,0,0.1467,9.1698
51,2828.43,3162.28,14212.7,0,0.2068,62.3017
52,3605.55,3162.28,13601.5,0,0.2875,56.857
53,4472.14,2236.07,13038.4,1000,0.3137,94.5169
54,5385.17,1414.21,12530,1000,0.2607,173.182
55,5099.02,1000,12083,1414.21,0.2432,68.4876
56,4123.11,1414.21,11704.7,2236.07,0.2244,57.5415
57,3162.28,2236.07,11401.8,2828.43,0.1501,81.0445
58,2236.07,3162.28,11180.3,3605.55,0.1705,100.897
59,1414.21,4123.11,11045.4,4000,0.1256,42.3609
60,1000,5099.02,11000,4123.11,0.1204,42.1952
61,1414.21,6082.76,11045.4,4472.14,0.1173,50.9236
62,2236.07,7071.07,11180.3,5000,0.1201,33.3158
63,3162.28,6082.76,25079.9,3162.28,0.123,92.1562
64,4123.11,6324.56,24166.1,4123.11,0.1519,100.645
65,5099.02,6708.2,23259.4,5099.02,0.1228,75.0132
66,6082.76,7000,22360.7,6082.76,0.0348,146.775
67,5099.02,3605.55,18868,4000,0.074,51.1733
68,4123.11,2828.43,18027.8,3000,0.1055,67.0707
69,3162.28,2000,17204.7,2000,0.1875,72.7494
70,2236.07,1000,16401.2,1000,0.1763,56.6393
71,1414.21,0,15620.5,0,0.2254,57.147
72,1000,1000,14866.1,0,0.2551,2.904
73,1414.21,2000,14142.1,1000,0.2056,5.7992
74,2236.07,3000,13453.6,1000,0.3338,63.2041
75,3162.28,3000,12806.2,0,0.2476,72.5636
76,4123.11,2000,12206.6,0,0.2116,92.7659
77,5099.02,1000,11661.9,0,0.2841,98.2914
78,5385.17,0,11180.3,1000,0.3086,96.0346
79,4472.14,1000,10770.3,1414.21,0.2101,84.3557
80,3605.55,2000,10440.3,2236.07,0.1697,58.9202
81,2828.43,3000,10198,2828.43,0.1352,59.3913
82,2236.07,4000,10049.9,3000,0.1213,28.2345
83,2000,5000,10000,3162.28,0.1192,36.6043
84,2236.07,6000,10049.9,3605.55,0.122,41.4148
85,2828.43,7000,10198,4000,0.128,31.9531
86,2000,6403.12,29410.9,0,0.2421,95.1063
87,1000,5830.95,28460.5,0,0.3091,105.056
88,0,5385.17,27513.6,0,0.3082,71.3336
89,1000,5099.02,26570.7,1000,0.2579,47.895
90,2000,5000,25632,2000,0.2669,53.2881
91,3000,5099.02,24698.2,3000,0.1585,88.451
92,4000,5385.17,23769.7,4000,0.1628,82.1896
93,5000,5830.95,22847.3,5000,0.1195,48.868
94,6000,6000,21931.7,6000,0.0868,80.0174
95,7000,6082.76,21023.8,6403.12,0.0464,21.4929
96,7000,5099.02,20124.6,5656.85,0.0443,32.9075
97,6000,4123.11,19235.4,5000,0.0486,48.6676
98,5000,3162.28,18357.6,4000,0.0859,45.2837
99,4000,2236.07,17492.9,3000,0.171,81.7366
100,3000,1414.21,16643.3,2000,0.2201,45.3281
101,2000,1000,15811.4,1000,0.1797,34.3776
102,1000,1000,15000,0,0.1834,7.0326
103,0,1414.21,14212.7,0,0.2257,13.6595
104,1000,2236.07,13453.6,1000,0.1654,11.8572
105,2000,2236.07,12727.9,1414.21,0.2453,76.5012
106,3000,2000,12041.6,1000,0.244,80.1828
107,4000,2236.07,11401.8,0,0.3048,60.2929
108,5000,1414.21,10816.7,0,0.2264,95.447
109,5830.95,1000,10295.6,0,0.2723,112.548
110,5000,1414.21,9848.86,1000,0.3444,99.9697
111,4242.64,2236.07,9486.83,1414.21,0.2603,68.2471
112,3605.55,3162.28,9219.54,2000,0.1617,42.3247
113,3162.28,4123.11,9055.38,2000,0.1416,50.592
114,3000,5099.02,9000,2236.07,0.1227,56.0851
115,3162.28,6082.76,9055.38,2828.43,0.1077,59.1852
116,3605.55,7071.07,9219.54,3000,0.0908,44.45
117,3162.28,6403.12,30083.2,0,0.2707,90.3353
118,2236.07,5656.85,29120.4,0,0.2634,79.8016
119,1414.21,5000,28160.3,0,0.2722,58.4326
120,1000,4472.14,27202.9,1000,0.251,52.1971
121,1414.21,4123.11,26248.8,1414.21,0.1877,66.7813
122,2236.07,4000,25298.2,2236.07,0.1735,67.745
123,3162.28,4123.11,24351.6,3162.28,0.2246,94.826
124,4123.11,4472.14,23409.4,4123.11,0.1433,45.0884
125,5099.02,5000,22472.2,5099.02,0.1466,42.5757
126,6082.76,5000,21540.7,6082.76,0.1461,91.1942
127,7071.07,5099.02,20615.5,5830.95,0.0826,11.7318
128,7071.07,5000,19697.7,5000,0.0352,7.3046
129,6082.76,4000,18788.3,4242.64,0.0564,28.4841
130,5099.02,3000,17888.5,3605.55,0.1342,100.192
131,4123.11,2000,17000,2828.43,0.2358,105.927
132,3162.28,1000,16124.5,2000,0.2101,88.3065
133,2236.07,0,15264.3,1000,0.2107,42.1079
134,1414.21,1000,14422.2,0,0.2048,10.0559
135,1000,1414.21,13601.5,1000,0.1829,24.9388
136,1414.21,2236.07,12806.2,1414.21,0.1602,7.5105
137,2236.07,1414.21,12041.6,2236.07,0.213,32.2413
138,3162.28,1000,11313.7,1414.21,0.2897,58.2322
139,4123.11,1414.21,10630.1,1000,0.2387,69.4503
140,5099.02,2236.07,10000,1000,0.2929,82.0115
141,6082.76,2000,9433.98,1000,0.2484,104.426
142,5656.85,2236.07,8944.27,0,0.2339,151.37
143,5000,2828.43,8544,1000,0.2088,93.8657
144,4472.14,3605.55,8246.21,1000,0.1692,72.7092
145,4123.11,4472.14,8062.26,1000,0.1094,26.0702
146,4000,5385.17,8000,1414.21,0.1453,36.2983
147,4123.11,6324.56,8062.26,2000,0.0997,44.3046
148,4472.14,7280.11,8246.21,2000,0.1036,40.0973
149,4472.14,6324.56,30805.8,0,0.3063,79.4975
150,3605.55,5830.95,29832.9,0,0.3104,82.3094
151,2828.43,5000,28861.7,1000,0.2525,65.1636
152,2236.07,4242.64,27892.7,1000,0.2099,48.5286
153,2000,3605.55,26925.8,1414.21,0.2072,37.2436
154,2236.07,3162.28,25961.5,2236.07,0.1852,52.5793
155,2828.43,3000,25000,2828.43,0.2435,58.2392
156,3605.55,3162.28,24041.6,3605.55,0.3346,48.7986
157,4472.14,3605.55,23086.8,4472.14,0.2797,92.848
158,5385.17,4123.11,22135.9,5385.17,0.1313,23.3294
159,6324.56,4000,21189.6,6324.56,0.152,47.2272
160,7280.11,4123.11,20248.5,5385.17,0.1237,35.3051
161,7280.11,4472.14,19313.2,4472.14,0.0715,24.4001
162,6324.56,4123.11,18384.8,3605.55,0.0943,35.4564
