grid_id,dist_ranger,dist_salt,dist_vill,dist_str,slope_var,ndvi_cv
1,5000,6324.56,16278.8,6708.2,23.869,0.089
2,5000,5099.02,15524.2,5385.17,24.118,0.054
3,4242.64,5385.17,15297.1,5830.95,87.204,0.055
4,3605.55,5830.95,15132.7,6403.12,107.539,0.068
5,3162.28,6403.12,15033.3,7071.07,61.674,0.056
6,3000,7071.07,15000,7810.25,28.462,0.11
7,5385.17,4000,14866.1,4123.11,71.214,0.118
8,4472.14,4123.11,14560.2,4472.14,55.042,0.077
9,3605.55,4472.14,14317.8,5000,97.655,0.058
10,2828.43,5000,14142.1,5656.85,99.575,0.074
11,2236.07,5656.85,14035.7,6403.12,65.441,0.058
12,2000,6403.12,14000,7071.07,59.499,0.092
13,4472.14,3162.28,18384.8,1414.21,60.48,0.169
14,4123.11,3000,17691.8,1000,75.938,0.291
15,4472.14,4242.64,15811.4,2000,90.017,0.112
16,5000,4242.64,15264.3,2000,106.692,0.1
17,5656.85,3605.55,14764.8,2236.07,116.322,0.14
18,6082.76,3162.28,14317.8,2828.43,46.114,0.109
19,5099.02,3000,13928.4,3162.28,57.336,0.116
20,4123.11,3162.28,13601.5,3605.55,143.66,0.086
21,3162.28,3605.55,13341.7,4242.64,103.306,0.11
22,2236.07,4242.64,13152.9,5000,57.734,0.049
23,1414.21,5000,13038.4,5656.85,47.87,0.055
24,1000,5830.95,13000,6082.76,42.558,0.069
25,1414.21,6708.2,13038.4,6324.56,51.516,0.056
26,2236.07,7615.77,13152.9,6708.2,52.857,0.051
27,5000,3605.55,19209.4,3000,58.251,0.111
28,4242.64,2828.43,18439.1,2000,61.368,0.117
29,3605.55,2236.07,17691.8,1000,85.108,0.147
30,3162.28,2000,16970.6,0,81.761,0.172
31,3000,2236.07,16278.8,0,4.722,0.253
32,3162.28,2828.43,15620.5,1000,7.061,0.114
33,3605.55,3605.55,15000,1000,76.057,0.104
34,4242.64,3605.55,14422.2,1000,88.124,0.14
35,5000,2828.43,13892.4,1414.21,89.526,0.136
36,5830.95,2236.07,13416.4,2000,108.116,0.111
37,5000,2000,13000,2236.07,115.22,0.114
38,4000,2236.07,12649.1,2828.43,52.235,0.133
39,3000,2828.43,12369.3,3605.55,57.26,0.052
40,2000,3605.55,12165.5,4242.64,78.88,0.078
41,1000,4472.14,12041.6,5000,50.684,0.062
42,0,5385.17,12000,5099.02,28.679,0.075
43,1000,6324.56,12041.6,5385.17,32.484,0.064
44,2000,7280.11,12165.5,5830.95,46.966,0.071
45,4472.14,3162.28,18601.1,3162.28,64.977,0.113
46,3605.55,2236.07,17804.5,2236.07,61.625,0.094
47,2828.43,1414.21,17029.4,1414.21,98.139,0.12
48,2236.07,1000,16278.8,1000,79.445,0.141
49,2000,1414.21,15556.3,0,8.079,0.09
50,2236.07,2236.07,14866.1,0,9.17,0.093
51,2828.43,3162.28,14212.7,0,62.302,0.11
52,3605.55,3162.28,13601.5,0,56.857,0.133
53,4472.14,2236.07,13038.4,1000,94.517,0.15
54,5385.17,1414.21,12530,1000,173.182,0.116
55,5099.02,1000,12083,1414.21,68.488,0.096
56,4123.11,1414.21,11704.7,2236.07,57.542,0.124
57,3162.28,2236.07,11401.8,2828.43,81.045,0.086
58,2236.07,3162.28,11180.3,3605.55,100.897,0.095
59,1414.21,4123.11,11045.4,4000,42.361,0.069
60,1000,5099.02,11000,4123.11,42.195,0.066
61,1414.21,6082.76,11045.4,4472.14,50.924,0.069
62,2236.07,7071.07,11180.3,5000,33.316,0.064
63,3162.28,6082.76,25079.9,3162.28,92.156,0.129
64,4123.11,6324.56,24166.1,4123.11,100.645,0.129
65,5099.02,6708.2,23259.4,5099.02,75.013,0.11
66,6082.76,7000,22360.7,6082.76,146.775,0.072
67,5099.02,3605.55,18868,4000,51.173,0.048
68,4123.11,2828.43,18027.8,3000,67.071,0.079
69,3162.28,2000,17204.7,2000,72.749,0.098
70,2236.07,1000,16401.2,1000,56.639,0.112
71,1414.21,0,15620.5,0,57.147,0.139
72,1000,1000,14866.1,0,2.904,0.143
73,1414.21,2000,14142.1,1000,5.799,0.13
