Park,Tr.no,Walk.no,Animal.location,Total_lenght_tr,Species,Gz.sz,P.dist
HKK,1,8,3.01,32,MJK,1,92.71838546
HKK,1,10,2.17,32,MJK,1,69.61653268
HKK,3,2,2.98,32,MJK,1,17.36481777
HKK,3,2,2.87,32,MJK,1,67.84384769
HKK,5,4,3.12,32,MJK,1,42.18686538
HKK,6,3,2.73,32,MJK,1,27.23195175
HKK,6,8,1.60,32,MJK,1,40.67366431
HKK,7,2,0.41,32,MJK,1,34.20201433
HKK,7,2,0.08,32,MJK,1,6.63230058
HKK,9,2,2.87,32,MJK,1,25.25183575
HKK,11,2,0.79,32,MJK,1,7.257656868
HKK,11,2,1.16,32,MJK,1,18.57862064
HKK,11,2,2.06,32,MJK,1,24.42592917
HKK,11,8,2.99,32,MJK,1,32.45143491
HKK,13,1,1.71,32,MJK,1,50
HKK,14,6,3.02,32,MJK,1,48.20907073
HKK,14,8,0.01,32,MJK,1,55.16075275
HKK,16,7,2.25,32,MJK,1,48.63725655
HKK,17,8,1.44,32,MJK,1,95.10565163
HKK,17,10,1.67,32,MJK,1,70
HKK,19,9,1.19,32,MJK,1,81.91520443
HKK,20,10,1.30,32,MJK,1,0
HKK,21,4,0.70,32,MJK,1,70.71067812
HKK,21,10,0.65,32,MJK,1,22.46985116
HKK,23,2,2.07,32,MJK,1,36.54181831
HKK,23,2,2.48,32,MJK,1,68.71390284
HKK,25,1,1.78,32,MJK,1,74.17470837
HKK,25,1,3.14,32,MJK,1,74.17470837
HKK,25,4,1.45,32,MJK,1,3.996741659
HKK,26,1,2.09,32,MJK,1,54.69870425
HKK,26,8,2.48,32,MJK,1,32.33592155
HKK,27,4,0.00,32,MJK,1,100
HKK,27,5,2.06,32,MJK,1,93.96926208
HKK,27,10,3.00,32,MJK,1,31.9454204
HKK,28,3,3.12,32,MJK,1,2.96645722
HKK,28,3,2.38,32,MJK,1,52.44670697
HKK,28,5,0.30,32,MJK,1,81.69585525
HKK,29,7,1.65,32,MJK,1,17.83547581
HKK,29,10,1.99,32,MJK,1,47.23625009
HKK,30,1,1.63,32,MJK,1,89.10065242
HKK,30,3,0.24,32,MJK,1,64.27876097
HKK,30,9,0.81,32,MJK,2,39.84778792
HKK,31,4,0.46,32,MJK,1,33.47066646
HKK,31,6,0.65,32,MJK,1,38.30222216
HKK,31,7,0.75,32,MJK,1,49.87820251
HKK,31,9,1.78,32,MJK,1,0
HKK,31,9,0.60,32,MJK,1,99.9390827
HKK,32,1,1.63,32,MJK,1,89.10065242
HKK,32,3,0.24,32,MJK,1,64.27876097
HKK,32,5,1.46,32,MJK,1,46.98463104
HKK,32,7,1.08,32,MJK,2,11.34976249
HKK,32,9,0.81,32,MJK,2,39.84778792
HKK,1,10,2.73,32,MJK,1,22.3168017
HKK,3,1,2.60,32,MJK,1,1.642561883
HKK,3,3,1.87,32,MJK,1,0
HKK,3,4,0.16,32,MJK,1,3.032010914
HKK,3,4,1.20,32,MJK,1,15.32088886
HKK,3,8,1.91,32,MJK,1,20
HKK,4,1,0.76,32,MJK,1,7.424621202
HKK,4,1,0.37,32,MJK,1,5.877852523
HKK,4,2,2.17,32,MJK,2,40.34588527
HKK,4,5,1.56,32,MJK,1,18.21894343
HKK,4,6,1.60,32,MJK,1,38.04226065
HKK,4,6,2.11,32,MJK,1,12.75
