grid_id,dist_ranger,dist_salt,dist_vill,dist_str,ndvi_cv,slope
1,4472.1400,3162.2800,18384.8000,1414.2100,0.3325,60.4799
2,4123.1100,3000.0000,17691.8000,1000.0000,0.7153,75.9377
3,5000.0000,3605.5500,19209.4000,3000.0000,0.1288,58.2509
4,4242.6400,2828.4300,18439.1000,2000.0000,0.2209,61.3676
5,3605.5500,2236.0700,17691.8000,1000.0000,0.2435,85.1082
6,3162.2800,2000.0000,16970.6000,0.0000,0.4890,81.7606
7,3000.0000,2236.0700,16278.8000,0.0000,2.0692,4.7220
8,3162.2800,2828.4300,15620.5000,1000.0000,0.2063,7.0614
9,3605.5500,3605.5500,15000.0000,1000.0000,0.2265,76.0566
10,4242.6400,3605.5500,14422.2000,1000.0000,0.3518,88.1243
11,4472.1400,3162.2800,18601.1000,3162.2800,0.1261,64.9774
12,3605.5500,2236.0700,17804.5000,2236.0700,0.1403,61.6249
13,2828.4300,1414.2100,17029.4000,1414.2100,0.2033,98.1391
14,2236.0700,1000.0000,16278.8000,1000.0000,0.2873,79.4450
15,2000.0000,1414.2100,15556.3000,0.0000,0.4051,8.0795
16,2236.0700,2236.0700,14866.1000,0.0000,0.1467,9.1698
17,2828.4300,3162.2800,14212.7000,0.0000,0.2068,62.3017
18,3605.5500,3162.2800,13601.5000,0.0000,0.2875,56.8570
19,4472.1400,2236.0700,13038.4000,1000.0000,0.3137,94.5169
20,5099.0200,3605.5500,18868.0000,4000.0000,0.0740,51.1733
21,4123.1100,2828.4300,18027.8000,3000.0000,0.1055,67.0707
22,3162.2800,2000.0000,17204.7000,2000.0000,0.1875,72.7494
23,2236.0700,1000.0000,16401.2000,1000.0000,0.1763,56.6393
24,1414.2100,0.0000,15620.5000,0.0000,0.2254,57.1470
25,1000.0000,1000.0000,14866.1000,0.0000,0.2551,2.9040
26,1414.2100,2000.0000,14142.1000,1000.0000,0.2056,5.7992
27,2236.0700,3000.0000,13453.6000,1000.0000,0.3338,63.2041
28,3162.2800,3000.0000,12806.2000,0.0000,0.2476,72.5636
29,4123.1100,2000.0000,12206.6000,0.0000,0.2116,92.7659
30,6000.0000,4123.1100,19235.4000,5000.0000,0.0486,48.6676
31,5000.0000,3162.2800,18357.6000,4000.0000,0.0859,45.2837
32,4000.0000,2236.0700,17492.9000,3000.0000,0.1710,81.7366
33,3000.0000,1414.2100,16643.3000,2000.0000,0.2201,45.3281
