Shape,Id,X_mid,Y_mid,grid_id,Length,tr_seq
Shape,1,517810,1733581,1700,566,1
Shape,1,518810,1733581,1701,609,1
Shape,1,517810,1734581,1723,1003,1
Shape,1,518810,1734581,1724,1045,1
Shape,3,518810,1728581,1574,2064,2
Shape,3,519810,1728581,1575,1145,2
Shape,4,523810,1728581,1579,1976,3
Shape,4,524810,1728581,1580,1254,3
Shape,5,529810,1728581,1585,2373,4
Shape,5,530810,1728581,1586,857,4
Shape,6,533810,1727581,1563,695,5
Shape,6,534810,1727581,1564,1074,5
Shape,6,533810,1728581,1589,529,5
Shape,6,534810,1728581,1590,908,5
Shape,7,517810,1722581,1408,984,6
Shape,7,518810,1722581,1409,1375,6
Shape,7,517810,1723581,1437,222,6
Shape,7,518810,1723581,1438,614,6
Shape,8,523810,1722581,1414,1363,7
Shape,8,524810,1722581,1415,1004,7
Shape,8,523810,1723581,1443,604,7
Shape,8,524810,1723581,1444,245,7
Shape,9,529810,1722581,1420,1564,8
Shape,9,530810,1722581,1421,805,8
Shape,9,529810,1723581,1449,805,8
Shape,9,530810,1723581,1450,46,8
Shape,10,535810,1722581,1426,2365,9
Shape,10,535810,1723581,1455,849,9
Shape,11,517810,1716581,1235,1027,10
Shape,11,518810,1716581,1236,1029,10
Shape,11,517810,1717581,1265,574,10
Shape,11,518810,1717581,1266,576,10
Shape,12,529810,1716581,1247,1361,11
Shape,12,530810,1716581,1248,605,11
Shape,12,529810,1717581,1277,1008,11
Shape,12,530810,1717581,1278,251,11
Shape,13,535810,1716581,1253,1912,12
Shape,13,535810,1717581,1283,1302,12
Shape,14,523810,1716581,1241,1166,13
Shape,14,524810,1716581,1242,789,13
Shape,14,523810,1717581,1271,818,13
Shape,14,524810,1717581,1272,441,13
Shape,15,517810,1710581,1059,626,14
Shape,15,518810,1710581,1060,1382,14
Shape,15,517810,1711581,1088,227,14
Shape,15,518810,1711581,1089,983,14
Shape,16,523810,1710581,1065,958,15
Shape,16,524810,1710581,1066,596,15
Shape,16,523810,1711581,1094,1005,15
Shape,16,524810,1711581,1095,643,15
Shape,17,529810,1710581,1071,1162,16
Shape,17,530810,1710581,1072,406,16
Shape,17,529810,1711581,1100,1206,16
Shape,17,530810,1711581,1101,451,16
Shape,18,518810,1704581,894,1146,17
Shape,18,518810,1705581,921,2064,17
Shape,19,523810,1704581,899,765,18
Shape,19,524810,1704581,900,410,18
Shape,19,523810,1705581,926,1205,18
Shape,19,524810,1705581,927,849,18
Shape,20,529810,1704581,905,968,19
Shape,20,530810,1704581,906,207,19
Shape,20,529810,1705581,932,1405,19
Shape,20,530810,1705581,933,644,19
Shape,21,523810,1699581,765,1963,20
Shape,21,524810,1699581,766,1253,20
Shape,22,530810,1699581,772,686,21
Shape,22,531810,1699581,773,1046,21
Shape,22,530810,1700581,799,569,21
Shape,22,531810,1700581,800,929,21
Shape,23,515810,1693581,601,3220,22
Shape,24,521810,1692581,582,496,23
Shape,24,522810,1692581,583,620,23
Shape,24,521810,1693581,607,994,23
Shape,24,522810,1693581,608,1118,23
Shape,25,517810,1687581,456,967,24
Shape,25,518810,1687581,457,1008,24
Shape,25,517810,1688581,480,605,24
Shape,25,518810,1688581,481,645,24
Shape,26,524810,1687581,463,1147,25
Shape,26,525810,1687581,464,2062,25
Shape,27,517810,1681581,324,766,26
Shape,27,518810,1681581,325,806,26
Shape,27,517810,1682581,345,809,26
Shape,27,518810,1682581,346,848,26
Shape,28,523810,1681581,330,963,27
Shape,28,524810,1681581,331,607,27
Shape,28,523810,1682581,351,1001,27
Shape,28,524810,1682581,352,645,27
Shape,29,517810,1675581,217,570,28
Shape,29,518810,1675581,218,610,28
Shape,29,517810,1676581,233,1003,28
Shape,29,518810,1676581,234,1042,28
Shape,30,524810,1675581,224,758,29
Shape,30,525810,1675581,225,411,29
Shape,30,524810,1676581,240,1196,29
Shape,30,525810,1676581,241,849,29
Shape,31,517810,1670581,137,1565,30
Shape,31,518810,1670581,138,1641,30
Shape,32,523810,1670581,143,1972,31
Shape,32,524810,1670581,144,1255,31
Shape,33,518810,1664581,47,1412,32
Shape,33,519810,1664581,48,962,32
Shape,33,518810,1665581,60,647,32
Shape,33,519810,1665581,61,197,32
